t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_9_Obs,Compound_11_Obs,Compound_13_Obs,Compound_14_Obs
0,6.98337614639711,6.79968498969121,148.298663646425,0.00283369091058279,0.342332015358339,110.459574289197,-246.920393733609,214.271753018034
6,3.74425083269797,80.8724062862831,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,681.2085505965,NaN
8.5,NaN,NaN,155.862401860073,0.0735256662795277,NaN,28.811404507414,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-44.7006301920987
10,4.24814172436048,73.1298702043762,NaN,NaN,0.361907553747561,NaN,NaN,NaN
15,NaN,NaN,521.993060404522,0.0528893434699488,NaN,267.455070027839,525.406235322909,NaN
20,8.52248781386313,59.4404256532703,NaN,NaN,0.015456806637669,NaN,NaN,738.843219223379
25,7.71429619879168,75.9134451289654,896.388905364933,0.0342498086150129,NaN,618.565020315952,1865.30470881858,891.95929905494
30,NaN,53.7543854346421,NaN,NaN,0.588384893666316,NaN,NaN,NaN
35,6.13121864414762,NaN,1748.06785406927,0.0422766055868054,NaN,1423.55778846043,3547.25419301203,1774.25847006206
40,6.13921340683722,64.8913625833507,NaN,NaN,1.14709275643884,NaN,NaN,NaN
45,NaN,NaN,2071.16213479937,0.0304792363414503,NaN,2042.37987998744,3786.18481738013,NaN
50,5.91703616409102,37.9687025488028,NaN,NaN,NaN,NaN,NaN,2276.96793714382
55,NaN,NaN,2015.14505261699,NaN,1.65596706445318,NaN,3504.36490149115,NaN
60,NaN,37.2305162285547,NaN,0.0245126925614209,NaN,2057.62806708703,NaN,2277.87132429032
65,5.84267503942638,NaN,NaN,NaN,NaN,NaN,3875.97144756974,NaN
70,NaN,42.6316767416818,1915.32786832118,NaN,3.79748760541385,2464.8441956823,NaN,NaN
75,NaN,NaN,NaN,0.0296527704705678,NaN,NaN,NaN,1675.4085580005
80,6.02868792261132,NaN,NaN,NaN,NaN,NaN,3396.30179064721,NaN
85,NaN,22.8825573474924,1492.9386817793,NaN,NaN,2033.11267950339,NaN,NaN
90,NaN,NaN,NaN,NaN,5.78677887738546,NaN,NaN,1453.95321022891
95,8.58380566506329,NaN,NaN,0.0170366675125133,NaN,NaN,2684.79439267516,NaN
100,7.91075781740835,18.0463021722463,1469.70579565545,0.0206831574180063,8.02372339845229,1710.41978322986,2644.04040406898,1317.99282917174
150,NaN,11.4679313754386,795.295320934816,0.0206893438320583,11.5669377846744,610.992211727385,1205.55740267827,574.048125858343
200,NaN,NaN,333.098368565791,NaN,10.9191296705728,460.100700669864,1668.09703153838,650.269351672752
