t,Y_protein_Obs,GFP_Obs,X_mRNA_Obs,Z_mRNA_Obs,GFP_mRNA_Obs
0,426.225679540128,0.110014168306513,172.714479556762,269.747364571457,1.62462867314028e-06
6,NaN,NaN,NaN,NaN,1.20981745130271e-09
15,NaN,NaN,NaN,NaN,4.97421989824148e-10
20,NaN,NaN,NaN,0.0495878644660276,1.26270781930369e-09
25,14426.2556055578,7.38630672462747,0.136053795846981,NaN,5.500411455316e-10
35,NaN,NaN,NaN,NaN,1.56441523154826e-09
40,NaN,NaN,NaN,0.0305051885261251,NaN
45,NaN,NaN,NaN,NaN,7.70490476398877e-10
50,8234.45793338106,NaN,0.126123333976276,NaN,NaN
55,NaN,8.04479036546019,NaN,NaN,7.88431416176359e-10
65,NaN,NaN,NaN,0.0792791108691975,NaN
70,NaN,NaN,NaN,NaN,1.27243719745918e-09
75,1351.62907200869,NaN,NaN,NaN,NaN
80,NaN,NaN,0.260893162533311,NaN,NaN
85,NaN,7.14145291603306,NaN,0.0974382368045588,NaN
100,2091.50504271739,43.6742805973087,0.290625272644337,0.108480608597051,NaN
150,565.090181188632,40.618041588227,3.17427699076311,0.264146865270157,NaN
200,446.246105593613,22.6253159626981,0.465971151572746,1.96067218650374,NaN
250,445.898268892083,37.1761383885302,0.268663802019406,0.50956003234097,NaN
300,1555.64808620515,145.419446867361,4.52292375299636,0.164981194638138,NaN
350,NaN,126.203564549787,0.473695483205848,4.03759747930738,NaN
400,1420.45937374975,NaN,NaN,NaN,NaN
450,NaN,250.803126302528,NaN,NaN,NaN
