t,p1EpoRpJAK2_Obs,pSTAT5_Obs,SOCS3nRNA2_Obs,Compound_1_Obs
0,-0.00135591923829147,1.03180687461471,-1.68951307632237e-06,23.941686462146
6,0.0851985958241834,NaN,NaN,NaN
6.5,NaN,16.5527830791575,NaN,NaN
7.5,NaN,NaN,NaN,2.11178178972228
15,0.0339496437938826,21.8345623094771,0.000339148213314425,112.269618760704
20,0.0280427405544557,23.4531964796466,NaN,NaN
25,0.0231698475723112,NaN,0.000521485236587271,251.103166188607
30,NaN,24.5287687540936,NaN,281.228595002741
35,0.0194805257994119,22.2417290658438,NaN,NaN
40,NaN,NaN,0.000661718532992566,340.16403787042
45,0.015899411270453,22.1406816838766,NaN,NaN
50,NaN,NaN,NaN,388.836013739272
55,0.0122328563379829,20.9130469913552,0.000706157095550274,NaN
65,0.0111951672220755,20.3698809478709,NaN,377.856359425355
75,0.010527843007981,20.106277425373,0.00066316685985291,365.824261761388
90,0.00849122482513076,18.0860461584768,NaN,361.671081761158
95,NaN,NaN,0.000583009781564241,NaN
100,0.00925341742263453,17.3527275252267,0.00060150284290641,326.511338262069
150,NaN,13.4893276809409,0.000518441278005309,261.851838174834
200,NaN,NaN,0.000411799537944252,226.931089112868
