t,epo_level,SOCS3nRNA2_Obs
8,2.5e-09,-6.03808014714964e-06
8,2.5e-09,-5.14720720227236e-06
8,2.5e-09,-4.22316044954082e-06
8,7.905e-09,3.06025795690273e-06
8,7.905e-09,7.70252941491241e-06
8,7.905e-09,1.59456245755726e-05
8,1.25e-08,-5.77207676723538e-06
8,1.25e-08,-3.80131302525951e-06
8,1.25e-08,4.64629730252961e-06
8,1.75e-08,2.57710928592131e-06
8,1.75e-08,1.01568532751488e-05
8,1.75e-08,1.05371845213156e-05
8,2.5e-08,1.15984511113776e-05
8,3.95e-08,1.38216666188721e-05
8,3.95e-08,1.47086867163177e-05
8,3.95e-08,1.55394560037908e-05
8,7.9e-08,4.4763781417427e-05
8,1.25e-07,7.60677695980702e-05
8,1.7675e-07,0.000108821991389289
8,2.5e-07,0.000158496359751206
8,7.905e-07,0.000393852718070239
8,2.5e-06,0.00062615382810984
8,2.5e-06,0.000626357227508325
8,2.5e-06,0.000630765409046984
