t,p1EpoRpJAK2_Obs,SOCS3nRNA2_Obs
0,0.000331140857225564,-2.62977406406724e-07
10,0.014245697517244,NaN
15,NaN,2.17920921037452e-06
25,0.0245667071753841,1.09607488870249e-05
35,0.0159180963570919,NaN
40,NaN,2.86895456890513e-05
50,0.00886705026487294,NaN
60,0.00666190687120254,3.96391696266486e-05
75,0.00588286069131558,4.45083792513978e-05
95,0.0051345264633453,NaN
100,0.00527766262109771,4.38896249962624e-05
150,0.00441322129585036,4.00586099845275e-05
200,0.00387152269281686,3.8336113760582e-05
250,NaN,3.82315979779687e-05
300,NaN,3.56007702782774e-05
