t,p1EpoRpJAK2_Obs,SOCS3nRNA2_Obs
0,0.000362776706127656,4.34721760123837e-05
9,0.69140575640582,NaN
20,0.29440479751889,0.000396130559816489
30,0.151214031840298,NaN
35,NaN,0.000745716797547541
40,0.116765749525263,NaN
50,0.0807726335742904,NaN
55,NaN,0.000939849512889589
65,0.0594936744230526,NaN
75,NaN,0.000941704525162549
80,0.0483065335668468,NaN
100,0.0395290286553323,0.000832791508555074
150,0.0297676977340037,0.000639854780153952
200,NaN,0.000604453031733914
250,NaN,0.000550307084260236
300,NaN,0.000483644893092418
