t,epo_level,SOCS3nRNA2_Obs
64,2.5e-09,0.000150846686364851
64,2.5e-09,0.000198339356392209
64,2.5e-09,0.000308997638492574
64,2.5e-08,0.000496568640126304
64,2.5e-08,0.000569936266473808
64,2.5e-08,0.000650953215085071
64,1.25e-07,0.00101633556080018
64,1.25e-07,0.00108152290916024
64,1.25e-07,0.00111263958052167
64,2.5e-07,0.0013439633367928
64,2.5e-07,0.00136981156227333
64,2.5e-07,0.00137588215434967
64,2.5e-06,0.00188538757494191
64,2.5e-06,0.00192709452901046
64,2.5e-06,0.00200894036350533
