t,epo_level,p1EpoRpJAK2_Obs
31,2.5e-09,-0.000410327147385636
31,2.5e-09,0.000433019640022259
31,2.5e-09,0.000970855468473581
31,2.5e-08,0.0146636357816379
31,2.5e-08,0.0171683334843153
31,2.5e-08,0.0175722796146607
31,1.25e-07,0.0403350690737935
31,1.25e-07,0.0424647125330656
31,1.25e-07,0.0452390158627754
31,2.5e-07,0.053899596786289
31,2.5e-07,0.0552127525791943
31,2.5e-07,0.0598846572123408
31,1.25e-06,0.0868791131227697
31,1.25e-06,0.0889597623818
31,1.25e-06,0.090042873259528
31,2.5e-06,0.104592804640682
31,2.5e-06,0.106187164921032
31,2.5e-06,0.10721496159175
