t,p1EpoRpJAK2_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA3_Obs,SOCS3nRNA2_Obs,Compound_1_Obs
0,-3.0228244989837e-05,-0.00976656075734384,-0.52116589616437,-0.350248804937943,11.6567504725991,2.50240947609123e-05,-13.1279360200027
25,0.0497054957785833,NaN,NaN,NaN,113.506131981157,NaN,366.499504830588
30,NaN,NaN,37.6011638343151,8.65046174718416,NaN,NaN,NaN
45,NaN,0.0740327140453292,NaN,NaN,439.561530702524,NaN,NaN
50,0.0304236602219876,NaN,NaN,NaN,NaN,0.0011162174979695,577.64326053278
55,NaN,NaN,34.4345893413754,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,9.61188281365845,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,609.248338459974,NaN,NaN
75,0.0248936008811097,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,520.836150934681
85,NaN,NaN,28.1826174536529,NaN,NaN,NaN,NaN
95,NaN,0.0936019698021203,NaN,8.0713184706114,536.146363056582,NaN,NaN
100,0.0203433222596871,NaN,25.4755997174208,NaN,NaN,0.000867051749565132,479.834023868587
150,0.0186327181563677,0.097545784503731,19.56631039705,5.86599554000666,423.916409956459,0.000656780893387696,352.563586991659
200,0.0173084565935079,0.107658610149725,19.0163220585476,5.231075662168,330.067297030526,0.000598073176807215,323.107015674725
250,0.01838448933025,0.108173302146316,16.9609703143036,5.06265748759283,282.127001145934,NaN,302.611340132939
300,0.0171652128879954,NaN,16.7538013721766,NaN,277.585326079835,0.000520550722059105,246.420560412742
350,NaN,0.101357854166615,15.555027143422,4.68205246587652,280.040078278683,NaN,NaN
400,0.0177387476507679,0.0968262317928444,NaN,4.49718989540341,268.033767528981,0.000520862591406109,252.078251367169
450,NaN,NaN,16.5423988890398,NaN,NaN,NaN,293.173013127415
500,NaN,0.100060172648801,NaN,4.54832837052755,282.12009350886,0.000459859717078681,NaN
550,NaN,NaN,17.4905938355574,NaN,NaN,NaN,307.441052434046
600,NaN,0.100950128930525,NaN,4.70197957096238,NaN,0.000530290099152432,NaN
700,NaN,0.101633469534071,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,0.000509094889333224,NaN
850,NaN,0.108503250416992,NaN,NaN,NaN,NaN,NaN
