t,p1EpoRpJAK2_Obs,SOCS3nRNA2_Obs
0,-0.000365570875466516,1.20962960688351e-06
10,0.0149661151474367,1.88609637030349e-06
20,0.0274164365071484,NaN
25,NaN,1.15038650342344e-05
35,0.015967408718107,2.26834482424821e-05
45,0.0101098673040515,NaN
50,NaN,3.64346154128558e-05
60,0.00719066242859971,NaN
65,NaN,3.89148573396285e-05
75,0.00586091144118614,NaN
80,NaN,4.61940401284059e-05
95,0.00532093942764095,NaN
100,0.0051611478679212,4.4486039089234e-05
150,0.00377347368480974,4.17513663821465e-05
200,NaN,3.85882932419577e-05
250,NaN,3.46900893021143e-05
300,NaN,3.33930525635533e-05
