t,p1EpoRpJAK2_Obs,pSTAT5_Obs,SOCS3nRNA2_Obs,Compound_1_Obs
0,0.000366835993330549,0.348303591533675,-3.70870762672293e-05,4.20176536041512
6,NaN,15.380427011263,NaN,NaN
7,0.0742409610353788,NaN,NaN,NaN
8.5,NaN,NaN,NaN,40.5417537553525
10,NaN,18.7286467331886,NaN,NaN
15,0.0341877394188018,NaN,0.000284475498952682,108.684660059765
20,0.0265774638203609,22.7290647468763,NaN,NaN
25,NaN,23.5361282912575,0.000504932064265787,250.508055089026
30,0.0207519364404349,NaN,NaN,NaN
35,NaN,22.0060829014428,NaN,327.518536481626
40,0.0175506929007384,24.3461540854813,0.000703357898226107,NaN
45,NaN,NaN,NaN,354.193575190802
50,0.0141341945447729,21.6536689379229,NaN,NaN
55,NaN,NaN,0.000707597770789816,NaN
60,0.0112060407845771,19.629444433937,NaN,379.585651008261
70,NaN,19.9699382239394,NaN,368.283446866278
75,0.00998083744812175,NaN,0.000677882454372501,NaN
85,NaN,18.7701162013081,NaN,335.962832366229
90,0.00871211416722091,NaN,NaN,NaN
95,NaN,NaN,0.00058470503405922,NaN
100,0.00954082580476306,16.8636525254329,0.000552606714206419,340.7802143675
150,0.00747974952073465,13.7160598815787,0.000447687070662783,255.971637585325
200,NaN,NaN,0.000374448520632883,210.294101743451
