t,p1EpoRpJAK2_Obs,npSTAT5_Obs
0,0.000392862557488859,-0.149597795161651
15,0.0667751442740877,10.1143710265423
35,0.0433021554068678,20.0687130950102
50,0.0359773062208959,NaN
55,NaN,18.1782578708058
70,0.031653254031979,NaN
75,NaN,15.4445307349962
90,0.0273674314358961,NaN
95,NaN,13.2750995376047
100,0.0280217224121867,12.330841359683
150,0.0217706290088284,9.83025842612421
200,0.0197468134310343,8.49533234239879
250,0.020954644909732,7.36698544284843
300,NaN,8.3866757832406
350,NaN,8.78383010856813
