t,p1EpoRpJAK2_Obs,pSTAT5_Obs,SOCS3nRNA2_Obs,Compound_1_Obs
0,-0.00166181250929179,-0.12877535102219,1.22292512332228e-05,7.62131477563812
6.5,NaN,22.3873071607363,NaN,NaN
8,0.110570198093961,NaN,NaN,NaN
8.5,NaN,NaN,NaN,39.7550386842781
10,NaN,NaN,0.000214109009088462,NaN
15,0.0661135550799179,35.0174176582737,NaN,163.319268302527
20,NaN,34.4951014991267,NaN,NaN
25,0.0503349978218576,36.3879744140398,0.000744401306206036,374.082061878836
35,0.0401772319528059,35.631988698476,0.000987001514928924,517.468276290682
45,0.0318043799829583,36.1750577236819,NaN,565.43586990823
50,NaN,NaN,0.00109235339188346,NaN
55,NaN,34.1001271635549,NaN,NaN
60,0.0273151061240908,NaN,NaN,568.802823893948
65,NaN,29.4517088109386,0.00106672928423261,NaN
70,NaN,NaN,NaN,599.092524588237
75,0.0220314535650196,NaN,NaN,NaN
80,NaN,27.2754738618586,0.000931824260229602,NaN
85,NaN,NaN,NaN,540.873927221977
90,0.0198134525771643,NaN,NaN,NaN
95,NaN,28.1479256697557,NaN,NaN
100,0.0253201809960928,25.9325487587438,0.00086954170742155,486.149241061078
150,0.0169698709902723,19.8317796127153,0.000692162152793845,386.752543131924
200,NaN,NaN,0.000587462413036606,299.409990605707
