t,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs
0,6.23100350624605,0.024222456050872,0.0631875011520229,0.000210121777616935
1.5,7.66093583962174,0.602228049578992,0.201526057050391,0.0010230394907811
2.5,1.30752093197522,2.37273088935157,NaN,NaN
3,NaN,NaN,0.669751692054972,0.0007261793705481
4,3.99166450305774,2.27646650846978,NaN,NaN
4.5,NaN,NaN,0.504811469737482,0.00203782327978592
5.5,0.926038589225279,3.10211542345816,NaN,NaN
6,NaN,NaN,1.6416035799802,NaN
6.5,NaN,NaN,NaN,0.00125492844304503
7.5,1.15823097847097,5.55968766603773,1.84229483622777,NaN
8.5,NaN,NaN,NaN,0.00193431486863251
9.5,0.447733733791479,0.888190385068613,1.63277167651131,NaN
10,0.341060463851618,5.32696650632818,1.75683802326621,0.0100582399092647
15,1.3369467213158,3.17772933473916,4.14202782564927,0.00337699868736118
20,2.22651459353597,2.1993459569872,5.13069432704757,0.00487640941973329
