t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,1.04012579598775,0.932296453546168,0.86877761871408,0.0299246055233164,0.926196887520928
0.09,NaN,NaN,NaN,0.8461810424037,NaN
0.15,NaN,NaN,NaN,NaN,0.969037573009044
0.2,NaN,NaN,1.01139817133341,0.857986179542162,NaN
0.25,0.413170022649821,0.928501163113233,NaN,NaN,NaN
0.3,NaN,NaN,NaN,1.05362278467319,NaN
0.35,NaN,NaN,NaN,NaN,0.851732692117141
0.4,NaN,NaN,0.965538746853554,0.994148300899986,NaN
0.45,0.49369164585077,0.826803522857366,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,0.929607352991202
0.55,NaN,NaN,NaN,0.948054151998695,NaN
0.6,NaN,NaN,0.993735354493291,NaN,NaN
0.7,NaN,NaN,NaN,1.00785998390099,0.948072263413707
0.75,0.559305355833792,0.864470592771836,NaN,NaN,NaN
0.85,NaN,NaN,0.999124195785339,1.08909696761888,NaN
0.9,NaN,NaN,NaN,NaN,0.943249881056755
1,0.551692899116125,0.906371521484853,1.05223526271464,1.02011302257796,0.886672689408206
1.5,0.63110907497735,0.846895789145733,0.963014441219554,NaN,0.975099374789747
2,0.623757163291524,0.902485177514203,0.954519221111494,NaN,0.953523059917377
2.5,0.599764721936569,NaN,0.948764012607345,NaN,1.09218153845268
3,0.66095914551118,NaN,NaN,NaN,0.925616592405528
4,0.617737014598291,NaN,NaN,NaN,NaN
