t,PKDDAGa_Obs,PI4K3B_Obs,PI4K3Ba_Obs,CERTERa_Obs,Compound_1_Obs
0,143.04174406802,2344215.03220198,206074.018355049,47449979.5802275,75271262.3835813
2.5,181.326123663639,2329167.66372281,NaN,NaN,NaN
3,NaN,NaN,NaN,103717712.920219,270672121.536081
3.5,NaN,NaN,227076.570962927,NaN,NaN
5,NaN,2217117.89446935,NaN,NaN,NaN
5.5,308.128847735253,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,264062094.198548
6.5,NaN,NaN,285138.670954261,175316344.640601,NaN
8,383.251702440683,2212278.80565076,NaN,NaN,NaN
9.5,NaN,NaN,NaN,171117580.382627,280459665.757376
10,354.642249230536,1765258.63533908,308122.087255416,NaN,NaN
15,434.534375130691,2280513.84540788,422178.417788442,210880886.008519,382535956.518029
20,426.476866816226,1936732.73896821,377242.362795454,227382173.242456,382467788.028414
25,374.247635604727,2061951.78165357,387855.047117604,250714976.194179,396426459.512109
30,364.498028713226,2256230.73705179,374621.79227336,192035429.386499,436532288.81826
35,NaN,NaN,329833.414077471,NaN,NaN
40,417.551756934771,NaN,NaN,263165823.408829,545404231.029306
45,430.736765916549,NaN,376508.674932886,240154900.504228,496988190.63465
55,486.530552021018,NaN,470069.443376637,286762033.684273,511741877.756205
65,435.315560467673,NaN,489723.154544814,262378097.546088,549872484.916546
