t,PKDDAGa_Obs,CERTERa_Obs,Compound_1_Obs
0,33.7149151037291,64793374.820137,86539245.4384488
1.5,493.156981068633,NaN,NaN
3,394.179196524213,6885170.89074161,235085558.890847
5,299.23716193326,NaN,NaN
6,NaN,6333043.27526591,231666706.48377
6.5,624.279731385579,NaN,NaN
9,452.222805499249,NaN,NaN
9.5,NaN,6717612.86355841,335419685.017014
10,427.396959821521,NaN,NaN
15,748.778005950771,8350080.01971811,378780707.39932
20,805.186778019021,9529521.36080507,297071250.50066
25,5661.67818657566,18231867.8148448,492161998.245808
30,NaN,11867915.7740756,418174636.182021
35,NaN,12825749.6118603,532276053.063206
45,NaN,14260369.5268284,593895617.635911
50,NaN,16710679.7387288,559268006.052153
60,NaN,19798405.7454024,610157133.864818
70,NaN,19338919.1148788,712721162.147706
