t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,SFK_Obs
0,0.825550851775708,7.79134053928584e-05,-1.68603038242662e-06,-7.45981433314736e-05,0.00107477445965018
15,NaN,NaN,7.76591571559345e-06,NaN,NaN
20,0.352871590664956,5.51052125210189e-05,NaN,0.000375263575306996,NaN
25,NaN,NaN,3.46879026410855e-06,NaN,0.000738188233935751
40,0.750752275329225,NaN,5.24839544475464e-06,NaN,NaN
45,NaN,3.76452742301456e-05,NaN,0.000391716932455401,NaN
55,NaN,NaN,NaN,NaN,0.00102027524564178
60,NaN,NaN,6.75910905328173e-06,NaN,NaN
65,0.721205278090497,2.29185337434037e-05,NaN,NaN,NaN
70,NaN,NaN,NaN,0.000284172133082755,NaN
75,NaN,NaN,4.78532291049073e-06,NaN,NaN
80,NaN,NaN,NaN,NaN,0.00142247348960988
85,0.644800058090221,NaN,NaN,NaN,NaN
90,NaN,1.37183837855347e-05,NaN,NaN,NaN
95,NaN,NaN,5.11281910812686e-06,0.000237647929891099,NaN
100,0.787255125167314,4.35341836047467e-05,7.16635086542127e-06,0.000209048904996267,0.000548491597020254
150,0.816703252392376,2.95951963173023e-05,7.02855430417741e-06,0.000192863693964878,0.00112953570507481
200,0.416587350187513,4.38025999543426e-05,5.01512693167231e-06,0.000188048037011288,0.00101835446562223
250,0.476070157534809,2.42339138614125e-05,3.82405281846695e-06,-5.28095423320583e-06,0.00109857212186489
300,0.477909853634435,5.64532268925769e-05,NaN,7.46564658726211e-05,NaN
350,0.629211388449008,1.55087859656601e-05,NaN,NaN,0.00113367085497917
400,0.188429168820539,NaN,NaN,-4.73178442008271e-05,0.000847011988722168
450,0.422120187241114,5.07928770810062e-05,NaN,NaN,NaN
550,0.666013804892952,NaN,NaN,NaN,NaN
