t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,SFK_Obs,pApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs
0,1.01208638155008,6.3975149886871e-05,-2.34773241985738e-06,-1.28099175649676e-05,0.000749909612077697,-0.00170618046846115,0.115277502692817
10,NaN,NaN,3.60025157233642e-05,NaN,NaN,NaN,NaN
15,0.0421688911549819,-4.15947131059455e-06,NaN,NaN,NaN,NaN,0.86048529810865
20,NaN,NaN,NaN,0.00104450842764012,NaN,0.0127900274996674,NaN
25,NaN,NaN,1.60963105008032e-05,NaN,-3.28444957628674e-05,NaN,NaN
30,-0.0022535370364238,NaN,NaN,NaN,NaN,NaN,0.764374613736252
35,NaN,-1.14734467221868e-06,1.81815642801888e-05,0.000846856075674012,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,0.000521640602726398,0.00573797598617468,0.623322421363011
50,0.0236030649898902,-1.29737891988059e-07,1.17724155713128e-05,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,0.0011076930993904,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,0.700840734226878
65,-0.0142986363945924,NaN,6.54514345734213e-06,NaN,NaN,0.00368071690118149,NaN
70,NaN,4.33462001004718e-07,NaN,NaN,0.000680418486894314,NaN,NaN
75,NaN,NaN,NaN,0.000708131828569096,NaN,NaN,NaN
80,NaN,NaN,6.1888290608317e-06,NaN,NaN,NaN,0.570751452354541
90,-0.0116114935474594,NaN,NaN,NaN,NaN,0.0017744676569334,NaN
95,NaN,4.8735632295917e-06,NaN,NaN,NaN,NaN,NaN
100,-0.0490797028706168,2.43127002018181e-06,4.90047106332099e-06,0.00062971691091938,0.000474400143246574,0.00347708735751093,0.292490062578888
150,0.0704363878609522,5.09915327750591e-06,1.05439549606085e-05,0.000466477613066095,0.00113163303083829,0.00110648335756044,0.210423680981432
200,0.0412183153631993,NaN,3.95712991789696e-06,0.000286538880516786,0.000933541204104622,0.00212272960872677,0.271617201387628
250,0.00749444557796582,NaN,NaN,0.000234905303934689,0.0010643011657228,-0.000121309061615908,0.146414072623343
300,0.00547586247013958,NaN,NaN,-2.56067310453962e-05,0.000814669997311265,NaN,-0.0488637806763284
350,NaN,NaN,NaN,0.000384053794334952,0.00098739174233916,-0.0014951490688181,NaN
