t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_Dab1SFKInh_Obs,SFK_Obs,ApoER2_Dab1_released_Obs
0,0.829087276348582,7.29010154528131e-12,-0.000181875316902246,6.9419664595088e-10,1.00571435719298e-08
5,NaN,NaN,NaN,NaN,9.13868400598721e-09
7.5,NaN,5.92842532192847e-12,NaN,NaN,NaN
10,NaN,NaN,0.00127619470868827,NaN,8.73197803029018e-09
15,NaN,7.95017771081604e-12,NaN,NaN,1.06236562927047e-08
20,NaN,NaN,0.00170622324561125,NaN,3.64510377441028e-09
25,0.860030674819682,1.18158520280592e-11,NaN,3.34308179358009e-10,NaN
30,NaN,NaN,0.00164308826437182,NaN,7.71002000100717e-09
35,NaN,1.1526676295215e-11,NaN,NaN,NaN
40,NaN,NaN,0.00127387284275626,NaN,9.38115213990976e-09
45,NaN,1.1123487896365e-11,NaN,NaN,NaN
50,NaN,NaN,NaN,4.44708584678692e-10,NaN
55,1.25945119690057,7.56134526701423e-12,0.000971201384699721,NaN,NaN
70,NaN,8.08009894574998e-12,0.000774404958527861,NaN,NaN
80,1.14195419929282,NaN,NaN,7.9308546074777e-10,NaN
85,NaN,7.82880278132356e-12,0.00200370754702348,NaN,NaN
100,1.94384350389603,5.97745801515932e-12,0.00129510767279625,5.28328164731114e-10,NaN
150,0.835087058513165,NaN,0.00158476776850335,5.10447528045044e-10,NaN
200,1.41639017400996,NaN,0.00127880337368407,5.95155744777882e-10,NaN
250,1.41034929454435,NaN,NaN,4.73162364383659e-10,NaN
300,1.00119208072913,NaN,NaN,3.74698445341178e-10,NaN
350,1.07677986764983,NaN,NaN,1.64224097935923e-10,NaN
450,1.71454397478693,NaN,NaN,1.46423808205342e-10,NaN
550,2.07816226967803,NaN,NaN,4.3731712392565e-10,NaN
