t,input_il6,STAT3_Obs
740,0.1,21.2829652614135
740,0.1,25.6965763269771
740,0.5,17.8627513390718
740,0.5,25.1345863969314
740,1,18.536920810005
740,1,22.5871907559617
740,2.5,17.0776502300231
740,2.5,17.4876408986351
740,5,15.1427004554826
740,5,16.40697594085
740,10,14.3065126773102
740,10,14.3462280920847
740,25,10.0611500239996
740,25,11.062092471391
740,50,6.94568583673899
740,50,9.861419636838
740,100,5.92056915414246
740,100,6.38121728780147
740,500,6.7389219343209
740,500,6.98701587894727
