t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00145489165917314,18.805470903362,11.2340187264375,0.000849060027996872,0.000865652591078692,0.000669911648363776,2.41762225012161e-05,0.0018804685741731
10,NaN,NaN,41.0368154870623,NaN,NaN,NaN,NaN,0.00228020156863279
15,0.0406674178203288,13.481163537219,NaN,0.0333134387320344,0.0346716852932261,0.00782206990115767,0.000113288999309868,NaN
25,NaN,14.5715804913912,29.8054421508029,NaN,0.0310773065996391,0.0308759215832123,NaN,0.0445344457122995
30,0.0154662079896528,NaN,NaN,0.0186155054262848,NaN,NaN,NaN,NaN
35,NaN,NaN,26.2358781114617,NaN,NaN,NaN,0.000681857270065722,0.0842867298579347
40,NaN,21.0890836321297,NaN,NaN,0.012686808744593,0.0240609277118571,NaN,NaN
45,NaN,NaN,NaN,0.00822082139083934,NaN,NaN,NaN,NaN
50,0.00498170354554672,NaN,19.9095484473542,NaN,NaN,NaN,NaN,0.0342988321177089
55,NaN,22.4212542814842,NaN,NaN,NaN,NaN,0.000355365391922367,NaN
60,NaN,NaN,NaN,0.00284826546428208,0.00419063112349903,0.00874046446316893,NaN,NaN
65,NaN,NaN,13.5771972346118,NaN,NaN,NaN,NaN,0.0208098051052562
70,0.00199263552901419,20.8813222071289,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.00155925150538617,NaN,NaN,NaN
80,NaN,NaN,12.4096245293937,0.00153380371733535,NaN,0.00194543846746515,7.55223303479848e-05,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00587614137011697
90,0.00127675409412224,20.9295373030776,NaN,NaN,NaN,NaN,NaN,NaN
100,0.00146921249022561,20.2283410047481,12.376800376167,0.000844158249524093,0.00099362022813015,0.00103755331190863,3.7866761822331e-05,0.00395579345241922
150,0.00117090343918762,23.2082090870874,12.0497830201825,0.00070202700915285,0.000754817037133841,0.000648513132760904,2.75063264655195e-05,0.00167190269041655
200,0.00111259388082164,21.4788408769884,10.3817865156962,0.000725081918950678,NaN,NaN,2.07405394866929e-05,NaN
250,0.00131594327253766,NaN,NaN,NaN,NaN,NaN,NaN,NaN
