t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00119836185784691,21.2906252855918,13.5656234315609,0.000849603419511745,0.000800960868676859,0.000891785682795755,2.07362183588205e-05,0.00179317027326927
10,0.0839332895858114,NaN,39.1383487140401,NaN,NaN,NaN,NaN,NaN
15,NaN,9.36959434402558,NaN,0.0501518482395617,NaN,NaN,NaN,0.00631144642513153
20,NaN,NaN,NaN,NaN,0.038604203128492,0.0179181406531607,0.000348824742775931,NaN
25,0.138267451525489,7.91149898939855,41.9684653054798,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,0.0563148062747786,NaN,NaN,NaN,0.0721076349121599
35,NaN,NaN,55.4480895750634,NaN,NaN,0.0371804567190152,NaN,NaN
40,0.0953357989454746,8.89938627761487,NaN,NaN,0.051578274738491,NaN,0.00111649242144545,NaN
50,NaN,NaN,41.1896825112544,0.0435299813789015,NaN,NaN,NaN,0.108368416606232
55,0.0400763513168207,12.492715170866,NaN,NaN,NaN,0.0520159573896848,NaN,NaN
60,NaN,NaN,NaN,NaN,0.0283189112287314,NaN,NaN,NaN
65,NaN,NaN,25.7076777468968,NaN,NaN,NaN,0.00110126969709079,0.0979545927827855
70,0.0116713713192973,17.3391349988613,NaN,0.0148323673111764,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.0276241237685811,NaN,NaN
80,NaN,NaN,19.9953312149984,NaN,NaN,NaN,NaN,NaN
85,0.00428460705372981,NaN,NaN,NaN,0.00864621448814243,NaN,NaN,0.0491325234841334
90,NaN,24.7152716968137,NaN,NaN,NaN,NaN,0.000405911947417377,NaN
95,NaN,NaN,NaN,0.00248929912142585,NaN,NaN,NaN,NaN
100,0.00227394660279505,24.2052436235904,13.9003007356834,0.00245538020771779,0.0027294903253082,0.00606336080792638,0.000168712765473152,0.0213946541756902
150,0.00111103604081467,19.3756641251451,11.4201521360947,0.000780200710354598,0.000693759111601818,0.000877209430520754,2.44468199979024e-05,0.00184687687731393
200,NaN,21.3075802393127,11.4433741457913,0.000843686584121245,0.000659405990967112,0.000731202216919861,1.95495305693031e-05,0.00185799879466659
250,NaN,NaN,NaN,NaN,NaN,0.000778093639180613,2.74583037825044e-05,NaN
