t,input_il6,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
15,5,0.0656831180553527,11.7470869576393,46.6660885165642,0.0373454243239742,0.0298451886244558,0.00449738633092375,7.94875635527945e-05,0.00657746523919175
15,5,0.068948949297939,10.987327550393,37.1027177662859,0.0344591811224744,0.0231330909197661,0.00507615112856041,7.35875646917722e-05,0.00604131174215009
15,5,0.0637749711711142,12.8994710743767,50.7324235675946,0.0272096995795897,0.0253414180512863,0.00558280569830776,7.83174789884768e-05,0.00462710607398739
15,5,0.0841184009830091,10.4261676024262,47.4400323219371,0.0335070386628247,0.025483940286155,0.00447629539160694,9.44766799801678e-05,0.00674345152724726
15,20,0.122759691822601,9.04932268970553,55.7533628473012,0.0446633978645981,0.0328461675533864,0.00759057754440296,0.000151968287873755,0.00833275437295252
15,20,0.114564900477785,9.52744930210466,51.8290295964172,0.0479521683814901,0.038261895033891,0.00897087608504889,0.000105319050775387,0.00962958055075458
15,20,0.104622250059221,8.80135971230848,50.0810793613072,0.0403059942241586,0.0335875799837827,0.00820736790276035,0.000129181953012345,0.0100737466291217
15,20,0.107909359229854,6.99523597565523,47.7571422111373,0.0474456295120074,0.0302983967301185,0.00879201982897586,0.000146057207354702,0.00904997783725207
15,40,0.0234286400711125,15.7725195602332,27.842761627078,0.0118071715829301,0.0098488433578704,0.00184828619761592,3.53452438200019e-05,0.00268734025709976
15,40,0.0201308175007761,18.190559248009,28.6472279580042,0.0129941867096614,0.00945069340216441,0.0018475450485584,3.62445955705745e-05,0.00245332579504213
15,40,0.0212960481615247,14.0874911478845,22.1165872515288,0.0139673079098659,0.00930021238743571,0.00199519592390112,3.7055973029568e-05,0.00292100353382954
15,40,0.0232575859218014,16.8387733149914,26.9165037028939,0.013224896240421,0.00838828838203566,0.00169930058281547,4.36067489622871e-05,0.00246140991048008
15,90,0.165171041444184,4.95639987366669,60.1330308238303,0.058396883692715,0.0501189316948535,0.0141442369892998,0.000229905232648901,0.0148550879187224
15,90,0.173997471709305,6.71086141564681,61.0614195517769,0.0611141883360622,0.0523646975988921,0.0140649569128976,0.000208585196399897,0.0132058478231991
15,90,0.170529885981052,5.42304808655707,64.9817687078557,0.0601703253700744,0.0466023939581401,0.0129229156244895,0.000212397642586193,0.012156291594598
15,90,0.174887317951051,6.37698604496371,49.8647763588135,0.0651627714489637,0.0439237029830686,0.0119146425134594,0.000226757849188012,0.0130277571788945
