t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.267379469362139,0.00120419014298725,19.8948671147264,12.3573618182011,0.000765774925099082,0.000758907919979629,0.00084012158475869,2.93755053499619e-05,0.00292032649107977
15,0.078262620378474,NaN,6.33212588839428,58.3143139902541,NaN,NaN,0.00925449243404857,NaN,0.0129414531870002
20,NaN,0.148706595848369,NaN,NaN,0.0775511572577502,0.0599998877358066,NaN,0.00058439038347752,NaN
25,NaN,NaN,NaN,49.1830736795876,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,4.88757312087139,NaN,NaN,NaN,NaN,NaN,NaN
35,0.0758698943117028,0.162905832087083,NaN,NaN,0.0597646094431447,NaN,0.0604228959905459,NaN,0.116242511333322
40,NaN,NaN,NaN,63.1545934471417,NaN,0.0583754532401468,NaN,NaN,NaN
45,NaN,NaN,6.31858735977008,NaN,NaN,NaN,NaN,0.00163775651336415,NaN
55,0.0693716046850737,0.178234445658323,NaN,60.5126959832512,0.0613986662783361,NaN,0.0617821821094244,NaN,0.156647111809018
60,NaN,NaN,NaN,NaN,NaN,0.0581998346201757,NaN,NaN,NaN
65,NaN,NaN,6.07277366298069,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,52.8218947404416,NaN,NaN,NaN,0.00152632645691485,NaN
75,0.0753980520154738,NaN,NaN,NaN,0.057248379128138,NaN,0.0678459126786023,NaN,0.117109324936133
80,NaN,0.137548176481839,NaN,NaN,NaN,0.0566994927342009,NaN,NaN,NaN
85,NaN,NaN,7.74231430031153,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,57.0974061774694,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00136277529603086,0.125256390502501
100,0.0697350361946657,0.138319465017145,7.47977562911359,49.4959242217039,0.0487089315148832,0.0617863972331391,0.0467551781699959,NaN,0.0912810356183668
150,0.0542575093810056,0.108698319721966,7.86402767139704,58.3091083576041,0.0540406947018806,0.0668930368314992,0.0514699702085051,0.00142957622378361,0.138562670396931
200,0.0520009348316796,0.10789739709292,7.209894243332,51.7455157302757,0.0530353511129701,0.0449343803190979,0.0607460468244166,0.00164111416867919,0.105990223370603
250,0.0708134382761723,0.132345933094455,7.63373024695677,65.5693746333054,0.0570725881058306,0.0602464156083866,0.0588713821796257,0.00125749712013923,0.134644251512911
300,0.0392196661058039,0.109167383453947,7.92839177197929,48.8567169722336,0.0504677425087899,0.0445433555316243,0.0409188160662002,0.00139405914526126,0.13776094501848
350,NaN,0.123699424666329,NaN,NaN,NaN,NaN,NaN,NaN,NaN
