t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.263773076083088,0.0013256712490239,22.3945265964911,11.3101898211976,0.000763131823577867,0.000817599070186377,0.000866522772419688,1.87360494713226e-05,0.00184524935378427
15,NaN,NaN,NaN,36.5109103321529,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,12.7447005601556,NaN,0.0268941626531523,0.024837475073785,0.00815223290888425,NaN,0.0109984758505182
25,0.185733119306924,0.0530671302960936,NaN,34.2216412274411,NaN,NaN,NaN,0.000386388645403252,NaN
35,NaN,NaN,11.0578279176064,NaN,0.0317633068509069,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,41.5653655894037,NaN,NaN,0.0302997223220358,NaN,0.0665290320996031
45,0.201193890881213,0.0479952535249546,NaN,NaN,NaN,0.0324913403456424,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000817626807803258,NaN
55,NaN,NaN,11.9802778049781,38.3649980058959,0.0323746915124595,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0766911519401874
65,NaN,NaN,NaN,NaN,NaN,NaN,0.0288334497831291,NaN,NaN
70,0.150822103110774,0.0502363552127439,NaN,33.2614399889007,NaN,0.0415358109247256,NaN,NaN,NaN
75,NaN,NaN,10.7822695820732,NaN,NaN,NaN,NaN,0.000969526538297092,NaN
80,NaN,NaN,NaN,NaN,0.0362228107517476,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,0.0304038823552325,NaN,0.0772224869330803
90,NaN,NaN,NaN,39.079329281327,NaN,NaN,NaN,NaN,NaN
95,0.169166698540134,NaN,NaN,NaN,NaN,0.0359552423754919,NaN,NaN,NaN
100,NaN,0.052449022430121,12.8785692737881,38.7386563425526,0.0402259871117359,0.035096460782169,0.0303552893382632,0.000856022699091865,0.0804946410140166
150,0.15271929097685,0.0356889244721886,11.8385355961205,42.2864224381289,0.0354142225378194,0.0288157645055503,0.0341700408517694,0.000794391987387306,0.0720897533092736
200,0.158778287757893,0.0423159409186994,13.4249751369148,34.447838119265,0.0295551800876683,0.0351290488364275,0.0294826335894219,0.000889941956205946,0.0720111237067333
250,0.18818975893004,0.0375404625749672,17.8274839014575,31.4363161089996,0.0298204546097371,0.0321247991118599,0.0275536454220976,NaN,0.0708225282518482
300,0.180341543536747,0.0412345940514759,11.5476040515462,NaN,0.0293043016455471,0.0290850879858897,NaN,0.000828825888236031,0.0698521675744055
350,0.13096235764741,0.0411203513641669,NaN,NaN,NaN,0.0379691240850854,0.0311448444112841,0.000904911189681367,NaN
450,0.180101619703123,0.0351785506706182,NaN,NaN,NaN,NaN,NaN,NaN,NaN
