t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.0014443852506896,19.5827798731807,14.0475049699671,0.000858164623660937,0.000660167681923155,0.000932774213331558,2.45684344216766e-05,0.00201746692843063
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00328276948182891
15,0.0768433327138275,9.1529419306984,41.8081415622487,0.0441077485049755,0.0471888688846594,0.0112501367577656,0.000200028589971802,NaN
25,NaN,NaN,NaN,0.0348227658249614,0.0397289525484929,0.0319086037918941,NaN,0.0644289232095038
30,0.0233201786379994,16.2642351492674,31.8784706859955,NaN,NaN,NaN,0.00108070489698513,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0911236822942588
40,NaN,NaN,NaN,0.0152291878649131,0.0188596423237061,0.03194074138006,NaN,NaN
45,NaN,19.9695505766199,16.820667069801,NaN,NaN,NaN,0.000846643024768231,NaN
50,0.00716313840278329,NaN,NaN,NaN,NaN,NaN,NaN,0.0527429417275585
55,NaN,NaN,NaN,NaN,0.00912261330990976,NaN,NaN,NaN
60,NaN,NaN,15.5661543621192,0.00488573154259588,NaN,0.0127476757318993,NaN,NaN
65,NaN,19.4813093412137,NaN,NaN,NaN,NaN,0.000295824048651764,0.0286790603858472
70,0.0025730272976464,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,13.60272421086,0.00231238806357399,0.00184815084187488,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.00336406027368966,NaN,NaN
85,NaN,21.0219882024243,NaN,NaN,NaN,NaN,NaN,0.00732997899532991
90,0.00146540154093862,NaN,NaN,NaN,NaN,NaN,7.00455715666238e-05,NaN
95,NaN,NaN,NaN,0.00110749014639547,0.00124865929427775,NaN,NaN,NaN
100,0.001645692285394,20.0339032738561,12.2461720717085,0.000874967086932299,0.00135644337867973,0.00152596320390479,3.61696050680177e-05,0.00387424906190504
150,0.00102817661060211,23.9970154223274,11.6875541776416,0.000814330300314394,0.000908923551529343,0.000849844674143093,2.50416723204875e-05,0.00183366166138699
200,0.0011684008033626,21.7778429602993,10.9064007741208,0.000894603896103491,0.000849323029332847,NaN,NaN,NaN
250,0.00111492917877597,15.9317953126653,NaN,NaN,NaN,NaN,NaN,NaN
