t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.263893019474563,0.00112886350470173,21.1418368978659,12.1041901763118,0.000879326908695322,0.000901669748245107,0.000983030623206009,2.34860855748435e-05,0.00184140131505162
15,NaN,NaN,10.9361402721658,NaN,NaN,NaN,NaN,NaN,NaN
20,0.194131447880825,0.0785461872432789,NaN,41.7268343001499,0.0383179189118141,0.0366410397172626,0.0131653144699566,0.000258951610909229,0.0162659870436725
30,NaN,NaN,9.54233256295709,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,47.1418297570293,NaN,0.0436406734977938,0.0407272815883474,NaN,NaN
40,0.151574902575288,NaN,NaN,NaN,NaN,NaN,NaN,0.000904211035027889,0.0836975570929603
45,NaN,0.0863983454954545,NaN,NaN,0.0477050810228815,NaN,NaN,NaN,NaN
50,NaN,NaN,9.64069535761069,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,38.7284748518961,NaN,0.0461611767299624,0.0376577491855037,NaN,NaN
60,0.181685114590642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,0.0882661010183483,9.41382270923782,NaN,NaN,NaN,NaN,0.00121005883358658,0.119151132514213
70,NaN,NaN,NaN,NaN,0.0388821726283889,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,46.7138448873106,NaN,NaN,0.0450348637406354,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.0395072407617162,NaN,NaN,NaN
85,0.134782638249088,NaN,11.4093536803433,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,0.0671432856507076,NaN,NaN,NaN,NaN,NaN,0.00130108235911675,0.0977722613657053
95,NaN,NaN,NaN,NaN,0.0405059722460633,NaN,NaN,NaN,NaN
100,0.125891890667095,0.072875949091065,11.8547450010183,39.9812376251074,NaN,0.0424823978755848,0.0470151426583035,0.00144988439781081,0.100525836988573
150,0.127871820116548,0.0624375484607867,9.68445020223233,41.6151929403992,0.0461771725732575,0.0430266416583741,0.0447476284958652,0.00120799530457311,0.0929418954245621
200,0.114004162190375,0.073901535626044,12.5619124618642,36.3681995366665,0.03593912456867,0.0341745107854343,0.0413568787577906,0.00113113003372601,0.0850588412061541
250,0.136633600345353,0.0616412487200209,13.2802795268024,40.8042479238357,0.0375219718034952,0.0382319719105029,0.0472170236836329,0.00108406961174229,0.0969957149192148
300,0.122394653631962,0.0583971981177887,12.8754968026232,37.0217380798395,0.0432811028965409,0.0403482566728172,0.0375314859321796,0.0011290985676623,0.0923860593839656
350,0.115516982960005,0.0601993496368061,NaN,41.023500565902,NaN,NaN,NaN,NaN,NaN
400,0.118070001800182,0.054049443527344,NaN,NaN,0.0423351748082567,NaN,NaN,NaN,NaN
