t,input_il6,nSOCS3RNA5_Obs,SOCS3_Obs
21,0,0.000968427995805924,0.00170010907765168
21,0,0.000941871443505411,0.0019313865542805
21,0,0.000972804603294093,0.00169219285854747
21,15,0.0382980621972113,0.0490463952484654
21,15,0.0314839557093085,0.0511129864514994
21,15,0.0353631757935195,0.0367409334981762
21,30,0.0136353269661986,0.0145567471815856
21,30,0.0131652701151766,0.0169006039375611
21,30,0.0132971231466262,0.0165324009217329
21,60,0.0189385637696874,0.0220912824980435
21,60,0.0202512793285954,0.0281445217348592
21,60,0.0201389166480522,0.0242183899032831
21,120,0.0225905543340431,0.0360262431682006
21,120,0.0281832790575063,0.0352718007488951
21,120,0.0251608892134635,0.0334471909256639
