t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00124203875759205,25.2422576704188,13.0216021308714,0.00105239070664844,0.000818918517688929,0.000853246092762444,2.32897266779997e-05,0.00189774473834568
9.5,NaN,NaN,48.3674066645709,NaN,NaN,NaN,NaN,NaN
10,0.1083867784739,6.7445875632585,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN,0.0469477737838017,0.0122058715351799,0.000194885109569948,0.0115447363365808
20,NaN,NaN,47.1423431953078,0.0561008671765172,NaN,NaN,NaN,NaN
25,0.115325203111857,6.91922365735116,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,46.3413877437709,NaN,0.0490053884753026,0.0515586513459151,NaN,0.092998601735782
35,0.0705114470312623,NaN,NaN,0.0444623853695329,NaN,NaN,0.00124923862399169,NaN
40,NaN,15.8057839239246,39.7524561488233,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,0.0356669038009334,0.0544940879296247,NaN,NaN
50,0.0181260485857852,NaN,NaN,NaN,NaN,NaN,NaN,0.103376801143407
55,NaN,17.3238836215299,25.9264205488197,NaN,NaN,NaN,0.00121890513419019,NaN
60,NaN,NaN,NaN,0.0144784753142622,NaN,NaN,NaN,NaN
65,0.00577551002945488,NaN,NaN,NaN,0.0115567269499484,0.0249966308741573,NaN,0.0624609584336211
70,NaN,19.4973340438455,16.3225408780379,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.00044400305011481,NaN
80,NaN,NaN,NaN,0.00311450491363143,NaN,NaN,NaN,NaN
85,0.00236864138206235,NaN,13.7707608504603,NaN,0.00389655910254135,NaN,NaN,0.021649145697662
90,NaN,21.0810883804861,NaN,NaN,NaN,0.00537521575046637,NaN,NaN
100,0.00129498568348538,16.7757132365634,11.9866142093265,0.00142457520795547,0.00151160031686799,0.00303322096607744,7.2030499168443e-05,0.00743766669023197
150,0.0011250228744198,19.6701069720395,11.2234507921716,0.000801154055546546,0.000848790221216389,0.000905894877840069,2.10307662083812e-05,0.00204247640472923
200,NaN,21.6485530960577,NaN,0.000910203780337804,0.000858496149347046,0.000785028355484163,2.00209890224989e-05,0.00174762120821744
250,NaN,NaN,NaN,0.000809506329006552,NaN,NaN,NaN,NaN
