t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00127505549401451,23.8151466739169,17.852319024945,0.000825377100796087,0.000884786623134209,0.00087815584972322,2.35539998654283e-05,0.00171917306273568
9.5,NaN,7.40173800373447,NaN,NaN,NaN,NaN,NaN,NaN
10,0.107033204412776,NaN,60.8938820936485,NaN,NaN,NaN,NaN,0.00276270013994958
15,NaN,NaN,NaN,0.0542001659529409,0.0400183272654262,0.00991761614509975,0.000174576102518034,NaN
20,NaN,7.10701435151272,47.8554137064109,NaN,NaN,NaN,NaN,NaN
25,0.137360661526167,NaN,NaN,NaN,NaN,NaN,NaN,0.0641635665899832
30,NaN,9.53120945550726,42.9904320378693,0.0549910373579799,0.0648129678454062,0.0554441004604847,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,0.00123526805898584,0.109369037640941
40,0.0423488313959825,14.5429876807381,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,27.8456488690861,0.023810127568075,0.0309297079866703,NaN,NaN,NaN
50,0.0171638214835476,NaN,NaN,NaN,NaN,0.0428948036372897,NaN,0.0926908730792574
55,NaN,18.2242116827483,29.1702086995648,NaN,NaN,NaN,0.00116841857807187,NaN
65,NaN,NaN,NaN,0.00833182538669064,0.0112151988723043,NaN,NaN,0.0672961805874573
70,0.00474326752705069,18.6597554366209,17.543987645348,NaN,NaN,0.0159794740358975,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.000392880383449904,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0255262074101833
85,NaN,19.020954259881,NaN,0.00251495624495102,0.0031068075080131,NaN,NaN,NaN
90,0.00188440273888277,NaN,14.0007925348337,NaN,NaN,0.0047224637517406,NaN,NaN
100,0.00147466034933354,19.8772265153344,13.2548394448055,0.00139134279094927,0.00155721161450101,0.00232611456753032,8.56658996598208e-05,0.00901359223256562
150,0.000893808288851209,25.6567665277624,12.9664946889867,0.000781255967699466,0.000908592406366609,0.000826499850269665,1.5180972651933e-05,0.00185128869154057
200,NaN,NaN,NaN,0.000797018669870369,0.000850993141806277,0.00101645606498886,1.75972593314624e-05,NaN
250,NaN,NaN,NaN,0.000994108355073886,NaN,NaN,NaN,NaN
