t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00118780958355761,27.5886139897485,12.8767068326897,0.000838900710015572,0.000952336445326791,0.000926868479269022,2.6112812189177e-05,0.00157349271910779
15,0.114066852905002,NaN,NaN,0.0468413950346247,NaN,0.00818804129528445,0.000138782303301761,NaN
20,NaN,9.42445400455047,50.2419978077908,NaN,0.0476338625484743,NaN,NaN,0.0263684900844149
30,0.113357071794868,NaN,NaN,0.0616738165859744,NaN,0.044180468930101,0.000887216458757761,NaN
35,NaN,NaN,NaN,NaN,0.0547070547188498,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.113115407026152
45,0.100197847737906,7.83132366985813,47.7576696640573,NaN,NaN,0.0604398259066351,0.00126414856592749,NaN
50,NaN,NaN,NaN,0.0460582961617827,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.0565835640868912,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.0601530163455667,NaN,0.112713820805486
65,0.0876288249958032,8.4047175722394,53.5890230880102,NaN,NaN,NaN,0.00143729000469928,NaN
70,NaN,NaN,NaN,0.0477331292441797,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.053564460871394,0.0541280135086957,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.116436586418211
90,0.118867977449651,9.0318820571115,NaN,0.0501431427462829,NaN,NaN,0.00142599571266391,NaN
95,NaN,NaN,49.0270488747947,NaN,0.0448167881328599,0.0528051404321003,NaN,NaN
100,0.116202900082137,10.5115234241368,52.6192184188152,0.059455998588629,0.0520917044121531,0.0500754910253331,0.00143532757659248,0.11839607447607
150,0.0143517853848758,18.1303286492422,24.7785398556555,0.0138522385859502,0.0209607910836835,0.0334363684417169,0.000959955145199734,0.0990327318081811
200,NaN,23.2443188977007,11.3423082144007,0.00113049613288659,0.00120671181456461,0.00233378356579572,NaN,0.00584254572322629
250,NaN,21.5731787780231,11.3039754828727,0.00085807511088663,0.000749319254611531,0.000743836413924646,NaN,0.00183486047227563
300,NaN,20.3152566034289,11.9389245062342,0.000732624593086679,0.000784329920015366,NaN,NaN,0.00161897722121467
350,NaN,19.16257041545,9.98317088146938,NaN,NaN,NaN,NaN,NaN
450,NaN,25.4219487647219,12.3702363039143,NaN,NaN,NaN,NaN,NaN
