t,input_il6,pJAK1_gp130_Obs
220,0.1,0.00026603225277929
220,0.1,0.000244460192531885
220,0.5,0.000794071053679193
220,0.5,0.000649670744072067
220,1,0.00121020257207963
220,1,0.000866124890662552
220,2.5,0.00516244546053529
220,2.5,0.00545009263962219
220,5,0.0149930798910089
220,5,0.0169867166832224
220,10,0.00191621707790162
220,10,0.00212575336987161
220,25,0.00887439131063929
220,25,0.0106636590856564
220,50,0.00230605063214165
220,50,0.00383916238526782
220,100,0.0121494320709045
220,100,0.0120084632130849
220,500,0.0173733168436832
220,500,0.0204304984144591
