t,input_il6,nSOCS3RNA5_Obs
840,0.1,0.000646655756711128
840,0.1,0.000586413484950005
840,0.5,0.00183353468346698
840,0.5,0.00164391324319304
840,1,0.00297962027770449
840,1,0.00292440702141646
840,2.5,0.0191638403956095
840,2.5,0.0158772605141663
840,5,0.0495622944914277
840,5,0.0441721814647033
840,10,0.00643500841540017
840,10,0.00630926547430323
840,25,0.034876777725074
840,25,0.0337330508798132
840,50,0.0117753068889189
840,50,0.0120658072755889
840,100,0.0373931906836802
840,100,0.0389792117918402
840,500,0.0553202507650764
840,500,0.0542494057926322
