t,input_ruxolitinib,nSOCS3RNA5_Obs,SOCS3_Obs
40,0,0.00070504283318289,0.00173452844137945
40,0,0.000946250653562472,0.00145829796751324
40,10,0.000733816965792171,0.0018951696186771
40,50,0.000622087293483731,0.00149966548731385
40,100,0.000567748233750395,0.00142957155771238
40,200,0.000566340410144255,0.00117390180143133
40,400,0.00033284915799743,0.000970881439072847
40,500,0.000331766419765439,0.000996464807395306
40,600,0.000299362456948259,0.000859507072384125
40,800,0.000269221778089326,0.00071815350923697
40,800,0.000305930641329766,0.000724658105500554
40,1000,0.000247908430947627,0.000658393929105329
40,1000,0.000301518011970802,0.000807533357140972
40,2000,0.000212732383069584,0.000741259557508442
40,5000,0.000190506115520265,0.000566502945204745
