t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00138619482608158,23.9436726921087,12.771790344776,0.000847565446875407,0.000859435246617313,0.000875014063253378,2.26239154922272e-05,0.00169748869212244
10,NaN,NaN,44.9180722771241,NaN,0.000260354602700988,0.000691537763401564,NaN,0.00194616837405507
15,NaN,7.83920243379711,NaN,0.00010357557882472,NaN,NaN,1.85966658764682e-05,NaN
20,0.153507072160664,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,52.4631348773823,0.000120006819670997,0.000112747542005697,0.000286770804484757,NaN,0.000598095210767128
30,NaN,6.18582209947704,NaN,NaN,NaN,NaN,3.38777602435276e-06,NaN
35,NaN,NaN,57.7450376492022,NaN,NaN,0.000844782747460308,NaN,NaN
40,NaN,NaN,NaN,0.0471538731478606,0.0392040721796822,NaN,NaN,0.00633897923388177
45,0.150485801149348,7.51907692787684,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,43.6231394030262,NaN,NaN,0.0366549395201339,0.000722441759225567,NaN
55,NaN,NaN,NaN,NaN,0.0531632539830054,NaN,NaN,0.111614300711457
60,NaN,7.63371971297283,NaN,0.0420269669793289,NaN,NaN,NaN,NaN
65,0.118265227844911,NaN,66.308949415605,NaN,NaN,0.0563310525996824,NaN,NaN
70,NaN,NaN,NaN,NaN,0.0558620742640016,NaN,0.00144594803948931,0.134117912675933
75,NaN,NaN,NaN,0.0594785584619609,NaN,NaN,NaN,NaN
80,NaN,7.28883969182271,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,56.8085609022281,NaN,NaN,0.0506633653412162,NaN,NaN
90,0.145519568105058,NaN,NaN,NaN,NaN,NaN,NaN,0.154424088127507
95,NaN,NaN,NaN,NaN,0.0621149200119393,NaN,0.0015047329083877,NaN
100,0.139376121163164,6.60627817991598,52.8224385641641,0.0540487236995569,0.0528930555006623,0.0536627426153115,0.00172612819919917,0.120640852332242
150,0.108712602883116,9.73046205348358,52.3408780932992,0.0550794818019307,0.0590021447486044,0.0498660391990156,0.00139139570880858,0.123129765771619
200,0.124571466907848,8.39820983408573,40.8095534344539,NaN,NaN,NaN,NaN,NaN
250,0.113914036096067,8.96376847155336,51.3614182698892,NaN,NaN,NaN,NaN,NaN
300,0.115695810792051,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350,0.113048777239256,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400,0.113078899523025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
