t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00129532347758461,20.8702452953143,10.524378053933,0.0010281614382775,0.000921258752048058,0.00103001259300635,2.01944574274455e-05,0.00154815577256145
5,NaN,NaN,NaN,0.0147943111064539,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,0.00552769305167208,NaN,NaN,0.00185093319170742
6,NaN,NaN,NaN,NaN,NaN,NaN,2.0384681229062e-05,NaN
9.5,NaN,NaN,NaN,0.0422926381801679,NaN,0.00249732000189837,NaN,NaN
10,NaN,NaN,NaN,NaN,0.0267260366604782,NaN,3.91858868159361e-05,0.00285592924443309
15,NaN,NaN,47.0377424418609,0.0523134492520038,0.0456523378144908,NaN,NaN,0.0105228112876965
20,0.138492673952111,6.11923278204594,NaN,0.056704019718328,NaN,0.0287908741921905,0.000478589103176317,NaN
25,NaN,NaN,NaN,0.0640198815539686,0.0670012444426219,NaN,0.000897430736683692,0.0795311646041844
30,NaN,NaN,NaN,NaN,0.052462216079825,0.0563128863059976,NaN,0.0878602823692764
35,NaN,NaN,55.0188573273224,0.0136520459996917,NaN,NaN,0.00150934678593065,NaN
40,NaN,5.98675714256585,NaN,NaN,0.0142548298606751,0.0479925642551661,NaN,0.120603724944869
45,0.120636173188143,NaN,NaN,0.00113217534837855,NaN,NaN,0.00114446340478673,NaN
50,NaN,NaN,NaN,NaN,0.00123158739507322,NaN,NaN,0.0725774294637425
55,NaN,NaN,59.4866955182957,0.000130495107594957,NaN,0.0109601383200518,0.000317581335774306,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0232308048749671
65,0.134389102045425,8.20060558548738,NaN,9.1754963242584e-05,0.000139981153275282,NaN,9.08944894737916e-05,NaN
70,NaN,NaN,45.3544821403441,NaN,NaN,0.00119472533535161,NaN,NaN
75,NaN,NaN,NaN,NaN,0.000103493457514531,NaN,NaN,0.00240146585144591
80,NaN,NaN,NaN,8.31075973834638e-05,NaN,NaN,7.53860074985683e-06,NaN
85,NaN,9.71629682611177,NaN,NaN,NaN,0.000158634557322535,NaN,NaN
90,0.11615721951309,NaN,43.6194589443077,NaN,NaN,NaN,NaN,0.000210187908410907
95,NaN,NaN,NaN,NaN,9.32293245493918e-05,NaN,NaN,NaN
100,0.0951925245861715,7.11681502952431,51.0363001563044,NaN,NaN,0.000116856622158759,1.23126368783755e-06,NaN
150,0.0741347599663586,13.0881239595086,57.9255929555408,NaN,NaN,8.84996331991266e-05,NaN,NaN
200,0.0523277864059247,10.7462586590022,39.6571484447305,NaN,NaN,0.000101692139600976,NaN,NaN
250,0.0367955280241868,13.3084250212065,34.4446713961086,NaN,NaN,NaN,NaN,NaN
300,0.0302591320712801,14.2467721944609,31.9110850213336,NaN,NaN,NaN,NaN,NaN
350,0.0175841492278864,17.1260509390153,NaN,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,19.7919333767661,NaN,NaN,NaN,NaN,NaN
450,0.0106649127711248,18.8621753405935,19.0756566450048,NaN,NaN,NaN,NaN,NaN
