t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00117868414717812,21.1835867881507,11.7090932464255,0.000930986425237976,0.0009839584110661,0.000860110811782175,2.12400775200854e-05,0.00187111385386178
10,0.0963722688804787,10.5197700069338,51.4735500198238,NaN,NaN,NaN,NaN,0.00258312576417364
15,NaN,NaN,NaN,0.0464532102181924,0.0315257046918508,0.00714375221291884,0.000121775067709794,NaN
20,NaN,NaN,47.9101264020204,NaN,NaN,NaN,NaN,NaN
25,0.115417385114636,7.74860681966402,NaN,NaN,0.0614082384350899,NaN,NaN,0.0490732258737634
30,NaN,NaN,44.9804805460996,NaN,NaN,0.0479961613949042,NaN,NaN
35,0.0596790096917734,10.0503329170906,NaN,0.0528487567294457,NaN,NaN,0.00112925111441126,NaN
40,NaN,NaN,NaN,NaN,0.0390080843395497,NaN,NaN,0.116101449370883
45,NaN,NaN,32.0473824702617,NaN,NaN,0.0444444509038958,NaN,NaN
50,0.0219392201587547,14.2989798575153,NaN,NaN,NaN,NaN,0.000989472938149553,NaN
55,NaN,NaN,16.6366732156715,0.0208661577178083,0.0210434640313632,NaN,NaN,0.096414319203447
65,0.00671337405078868,23.8792743127992,NaN,NaN,NaN,0.0267113953673506,NaN,NaN
70,NaN,NaN,17.789426122914,NaN,0.00910340995888257,NaN,0.000479626376700762,0.0434563544756189
75,NaN,NaN,NaN,0.00438560746809567,NaN,NaN,NaN,NaN
80,NaN,21.7458575992998,NaN,NaN,NaN,NaN,NaN,NaN
85,0.00262180485342063,NaN,NaN,NaN,NaN,0.00672398982532155,NaN,NaN
90,NaN,NaN,15.2549976058652,NaN,0.00220904081429507,NaN,NaN,0.0160181309429879
95,NaN,NaN,NaN,NaN,NaN,NaN,0.000108918814636659,NaN
100,0.0013913630885392,25.0789472048534,12.9523130548857,0.00142729445953236,0.00159790224898482,0.00329365995526316,9.24365046652814e-05,0.00828652789365816
150,0.00109599945529463,20.8504043434951,12.6662519844028,0.000806776555861919,0.000689176068858953,0.000883594481228881,1.90167799117596e-05,0.00185608619107048
200,NaN,25.7402235834378,12.7965276506987,0.000944154689744391,0.000743984403142052,0.000841029920365781,1.91436266210569e-05,NaN
250,NaN,NaN,NaN,0.000712181895799498,NaN,NaN,NaN,NaN
