t,input_il6,nSOCS3RNA5_Obs,SOCS3_Obs
40,0.1,0.00105521261652096,0.00218754240047132
40,0.1,0.00110760702973161,0.00216677374241042
40,0.1,0.00132555695038085,0.00275150025752726
40,0.1,0.00128212570981246,0.00300296219413656
40,1,0.00523199301288144,0.00993154614594486
40,1,0.00423307215901981,0.00957859970947971
40,1,0.00520333615424994,0.0103230098412976
40,1,0.0056320744508182,0.00868418454621009
40,5,0.0324360690785783,0.0621681439830186
40,5,0.0265475248099561,0.0511767183802198
40,5,0.029852201258108,0.0729123669737426
40,5,0.0278510938921638,0.0633267021102248
40,10,0.06339109792687,0.144202316278441
40,10,0.0465407877994675,0.127072327535359
40,10,0.0489569100388094,0.150263122159963
40,10,0.0611908048275301,0.119653696133947
40,50,0.0189339236662013,0.0477249013566255
40,50,0.0161442886540495,0.0321780740170253
40,50,0.0182100569818208,0.0381772308304853
40,50,0.0141380449386357,0.0308833595384273
40,100,0.0608708683634432,0.124839876940684
40,100,0.060459207854525,0.116330633772244
40,100,0.0557650408397392,0.12369317625867
40,100,0.0633445532709225,0.131995290543294
40,500,0.0648931421709392,0.167823000258494
40,500,0.0569558025400538,0.129650222353025
40,500,0.0659557397828579,0.149389735468296
40,500,0.067431104224117,0.134276805111464
