t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00118030747798799,23.4890769297213,12.8555001822971,0.000641483221368498,0.000879328787368951,0.000877898787760787,2.15227591662939e-05,0.00204790017220226
10,NaN,NaN,50.0410992081664,NaN,NaN,0.00250127838890162,NaN,0.00195052382672434
15,0.102262846369619,8.80821131073655,NaN,0.0444648292973231,0.0323550125322569,NaN,0.000140277238658522,NaN
25,NaN,NaN,38.0506795893835,NaN,NaN,0.0325795647942219,0.000696091514055756,0.0544751822176753
30,0.0391486626587109,12.6293793955664,NaN,0.0379880299409467,0.0363554800500698,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,0.0400320923837634,NaN,0.0868105573935606
40,NaN,NaN,19.6436318619421,NaN,NaN,NaN,NaN,NaN
45,0.0113098454615378,17.3241923194104,NaN,0.0153388026381457,0.0189217004897643,NaN,0.000917272961594067,NaN
50,NaN,NaN,NaN,NaN,NaN,0.0245343773770241,NaN,0.0691660775631546
55,NaN,NaN,14.8827906745646,NaN,NaN,NaN,NaN,NaN
60,0.00446397030655415,20.5483808364064,NaN,NaN,NaN,NaN,0.000402718749671735,NaN
65,NaN,NaN,NaN,0.00443293294788733,0.00477598973584292,0.0131720517738797,NaN,0.0338038992829499
70,NaN,NaN,12.9594055969888,NaN,NaN,NaN,NaN,NaN
80,NaN,22.1822719220858,NaN,NaN,NaN,NaN,0.000121593426846527,NaN
85,0.00166581981322824,NaN,12.9237113533691,0.00147217651282083,0.00183505908889996,0.0038509667706784,NaN,0.0104607835435617
100,0.00150181789057719,20.2303933960657,12.796333852072,0.00110646668078654,0.00124097798475682,0.00173810526237544,3.72787944343522e-05,0.00395829004010626
150,0.00108303016717436,19.684497957828,14.0500936942046,0.00095802985093886,0.00082646286413284,0.000795500558032936,2.13736800419644e-05,0.00211558114993949
200,NaN,20.7075928174142,10.3461567462578,0.000891648138681396,0.000849495752959632,NaN,NaN,NaN
250,NaN,21.4670613589776,11.074622703678,NaN,NaN,NaN,NaN,NaN
