t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00126596744909954,20.0786571949605,13.1603655387996,0.000964582775134919,0.0010403532250874,0.000873661660868281,2.51141449877456e-05,0.00152898699612348
10,NaN,6.95597744332788,56.0251400665326,NaN,NaN,NaN,NaN,NaN
15,0.10852087814671,NaN,NaN,0.0612508276562975,0.0496237324989105,0.0108091604785278,0.000212080761366962,0.0117620847442083
20,NaN,NaN,52.0064139427453,NaN,NaN,NaN,NaN,NaN
25,NaN,10.8010897344549,NaN,NaN,NaN,NaN,NaN,0.0651293073419229
30,0.0510722648889512,NaN,35.9965889844924,NaN,0.0475777995445219,0.0494128595478598,NaN,NaN
35,NaN,14.749455344562,NaN,0.0285289971114884,NaN,NaN,0.00139413838699074,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.106937046426185
45,0.0159800790068647,NaN,24.929040843511,NaN,NaN,0.0395246027836996,NaN,NaN
50,NaN,20.8425879767479,NaN,NaN,0.0183026019952246,NaN,0.00104177993711414,NaN
55,NaN,NaN,NaN,0.00823389868909193,NaN,NaN,NaN,0.0789309255323057
60,0.00537414086983113,NaN,17.2736490628166,NaN,NaN,NaN,NaN,NaN
65,NaN,14.7625328012103,NaN,NaN,0.00751300659452917,0.0150408018146483,NaN,NaN
75,NaN,NaN,14.7104788856111,0.00271551699043808,NaN,NaN,0.000232166092711558,0.0284355981446181
80,0.00181912604456639,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,23.6390411434004,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,13.4745142794686,NaN,0.00159989617323378,0.00330372920108865,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00687183123699156
100,0.00142894152754944,18.9949880377918,13.9748832384199,0.00108356416358218,0.00110114362367589,0.00223185900038538,5.57490686836371e-05,0.00564269343360771
150,0.00114272349476402,23.5818616318624,10.5129329379982,0.000875715374694681,0.000908121373176697,0.000823507756908536,2.02136834122757e-05,0.00190442500017617
200,0.00116015335040004,24.8643811115346,NaN,0.000850372651741691,0.000864114056530548,0.000768286442353491,NaN,NaN
250,NaN,NaN,NaN,0.000771291831549597,NaN,NaN,NaN,NaN
