t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00119052708231327,18.3918728371934,10.5445462120317,0.000723322750135612,0.000821146388977285,0.000738876573573953,1.93763530063867e-05,0.00187851636002535
4,NaN,NaN,NaN,NaN,0.000572993290403623,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,NaN,2.26899086364282e-05,NaN
5,NaN,NaN,NaN,0.000217868775886915,NaN,NaN,NaN,0.00218887626733193
6,NaN,NaN,NaN,NaN,NaN,0.000632908640706159,NaN,NaN
8.5,NaN,NaN,NaN,NaN,0.000215928405217438,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,1.69392480711134e-05,NaN
10,NaN,NaN,NaN,5.02652825160105e-05,NaN,0.000770689215962835,NaN,0.00176478464675995
15,NaN,NaN,55.2495925264701,1.15143426712779e-05,6.81767130173342e-05,NaN,1.33705714169104e-05,0.00123668838425489
20,0.148514370047595,6.22606596474887,NaN,NaN,1.78888982375366e-05,0.000220377048048305,1.09903287640436e-05,0.00102449816786825
25,NaN,NaN,NaN,1.62160898710419e-06,7.53261968476329e-06,0.000153077884351768,5.59484072089217e-06,0.000564183503300728
30,NaN,NaN,NaN,1.33020769514438e-06,2.52244663386599e-06,NaN,3.0134480490715e-06,NaN
35,NaN,NaN,55.0244197023572,NaN,1.52668100356204e-06,2.37395147731653e-05,1.27488181257252e-06,0.000133314924669345
40,NaN,5.77554266653003,NaN,1.02847776335454e-06,NaN,NaN,NaN,6.11009981989777e-05
45,0.143342899553388,NaN,NaN,NaN,1.00772271990235e-06,4.26433167295961e-06,2.09845627607449e-07,NaN
50,NaN,NaN,46.2408640982989,NaN,NaN,NaN,NaN,9.4369169895882e-06
55,NaN,NaN,NaN,NaN,1.29238353551285e-06,1.3654405829344e-06,3.98775229019574e-08,NaN
60,NaN,7.5038967104639,NaN,NaN,NaN,NaN,NaN,2.28815900797615e-06
65,0.11085180318412,NaN,NaN,NaN,8.12332236729062e-07,9.65883478816677e-07,1.15161072277308e-08,NaN
70,NaN,NaN,51.5943169507814,NaN,NaN,NaN,NaN,1.12143879549067e-06
75,NaN,NaN,NaN,NaN,NaN,NaN,1.0474088922008e-08,NaN
80,NaN,7.95227885541648,NaN,NaN,NaN,8.98737114140427e-07,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.07017651319673e-07
90,0.099275781369242,NaN,57.1857388224995,NaN,NaN,NaN,1.01918292261327e-08,NaN
100,0.095737825653857,8.01039530772326,51.2596913678312,NaN,NaN,1.08547482404521e-06,NaN,NaN
150,0.0720994743225254,8.77656780280657,45.0730553986393,NaN,NaN,NaN,NaN,NaN
200,0.0425360672282376,13.303443517762,34.8964153989553,NaN,NaN,NaN,NaN,NaN
250,0.0304044324262464,15.6583730764114,31.1138628089346,NaN,NaN,NaN,NaN,NaN
300,0.026714529988009,15.2019441946398,28.2218515724036,NaN,NaN,NaN,NaN,NaN
350,0.0165833704416812,15.3482643626137,NaN,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,28.8517779528583,NaN,NaN,NaN,NaN,NaN
450,0.0111565300598759,20.3535354445302,NaN,NaN,NaN,NaN,NaN,NaN
