t,input_il6,SOCS3_Obs
54,0.1,0.000797044901154729
54,0.1,0.000910529387133515
54,0.5,0.00137407777919481
54,0.5,0.00151112733677263
54,1,0.00295481777887629
54,1,0.00318255563753579
54,2.5,0.0234726176615982
54,2.5,0.0297667994928612
54,5,0.108419322812911
54,5,0.116053534686324
54,10,0.00593226349294287
54,10,0.00778486420201458
54,25,0.0469683489699944
54,25,0.0779174699885117
54,50,0.0145978438911621
54,50,0.016100186628697
54,100,0.0806837830126137
54,100,0.101224368319
54,500,0.145277513295262
54,500,0.123305917028167
