t,input_stattic,nSOCS3RNA5_Obs,SOCS3_Obs
15,0,0.00856256066583005,0.00905552431158879
15,0,0.00821608302382824,0.00787109851594476
15,0,0.00890978714107073,0.0104918365492692
15,0,0.00885749685147758,0.00757346196772607
15,20,0.00293807166324932,0.00372042854610062
15,40,0.00166059747757168,0.00260057151923624
15,50,0.0015382976985936,0.00267950328534018
15,60,0.00120204758374642,0.0023242945966567
15,60,0.00154759634648564,0.00196793619494982
15,60,0.00123933635990264,0.00189793547035186
15,60,0.00156236242781006,0.00223364762995281
