t,input_ruxolitinib,nSOCS3RNA5_Obs,SOCS3_Obs
29,0,0.0523787281325767,0.0685009495940005
29,10,0.0467328484839609,0.0867336907882575
29,50,0.0301622552831931,0.0434166138416585
29,100,0.00795589167591961,0.014717691046079
29,200,0.00786991181173516,0.0153988824941129
29,200,0.0305525936002032,0.0524040765667364
29,200,0.0297639842072498,0.0477617766477164
29,200,0.0287747092150152,0.0525237998470423
29,400,0.0256593388182323,0.0495747488748387
29,500,0.00362714858953259,0.00642373096298387
29,600,0.0206754703400535,0.0380467116735448
29,600,0.0355890196645268,0.0716823473398038
29,800,0.015783930851314,0.0239479714727232
29,1000,0.00100671302114507,0.0018498767686066
29,1000,0.0155779917116218,0.0261365867186678
29,2000,0.0141382883639211,0.0239403289606889
29,5000,0.0116486211688972,0.0202418487975588
