t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00113654676383553,21.1566503525407,12.7078424916875,0.000901082032216903,0.000907008589412887,0.000871519080383399,1.78822627642168e-05,0.00170312115630721
10,0.122685605739702,7.57227126329036,44.5082865107103,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN,NaN,0.0105310128913589,NaN,NaN
20,NaN,NaN,NaN,0.0570540283852874,0.0477823433727344,NaN,0.000579932358737724,0.0399179649567945
25,0.171512254925534,5.90502300076335,52.9292837729117,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,0.0437735504132195,NaN,NaN
35,0.192102855610474,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,5.31974533807779,48.8840039873245,0.0618781050775894,0.059794989606381,NaN,NaN,0.138871180293511
45,NaN,NaN,NaN,NaN,NaN,0.073419220427091,0.00145851071996764,NaN
50,0.122613136211358,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,6.09763248715197,64.4510598595621,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,0.0613280482732031,0.0634030984729303,NaN,NaN,0.139794943239294
65,NaN,NaN,NaN,NaN,NaN,0.06435498067967,NaN,NaN
70,0.141139011729198,NaN,66.9041237788638,NaN,NaN,NaN,0.00147377828933437,NaN
75,NaN,6.56199247550763,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.054649262455858,NaN,NaN,NaN
85,NaN,NaN,NaN,0.06390364557304,NaN,NaN,NaN,0.11662628268686
90,0.136845469877662,NaN,NaN,NaN,NaN,0.0565875223083123,NaN,NaN
95,NaN,8.69557268464138,52.1278858418296,NaN,NaN,NaN,0.00148437207729423,NaN
100,0.0893398774503349,9.30994163538248,43.4709313002179,0.0526414541573679,0.0485637227212001,0.0519599230168167,0.0016094643456465,0.119519229137604
150,0.00314319169538754,NaN,12.4483236344029,0.0029844093595505,0.00323179785721365,0.00843935061333127,0.000255712594979771,0.0232276269504058
200,NaN,NaN,NaN,0.000743025804723064,0.000784256637333271,NaN,2.20360297104778e-05,0.00204460005902209
250,NaN,NaN,NaN,0.000809262491401224,0.000661806960413067,NaN,1.86317238556455e-05,0.00164406451650439
300,NaN,NaN,NaN,0.000776432717281155,0.00089271110727653,NaN,1.72943922440478e-05,NaN
350,NaN,NaN,NaN,NaN,NaN,NaN,1.89842170584017e-05,NaN
