t,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.000826409061005568,0.00254420894001641
15,0.020623264448154,NaN
20,NaN,0.0479833384994365
35,0.0614957814173877,NaN
40,NaN,0.1881638533592
50,0.0611660654210191,NaN
60,NaN,0.154825153294512
70,0.0682942525980772,NaN
80,NaN,0.150805919652957
90,0.0675335523643873,NaN
100,0.0608785025550165,0.145541622699439
150,0.0653840975917368,0.137446420945564
200,0.0573922322182409,0.127685350269617
250,0.0535341171590646,0.136447083496848
300,0.0544931750264058,0.138630402779152
