t,input_il6,nSOCS3RNA5_Obs,SOCS3_Obs
29,0.1,0.000565467966874753,0.001530889560161
29,0.1,0.000609013085039791,0.00158916918395818
29,1,0.000960517044572712,0.00175140026819963
29,1,0.0011844746274957,0.00232087703128536
29,5,0.00557664791786775,0.0073428852713131
29,5,0.00514813701131253,0.00793254224657376
29,10,0.0300541403887832,0.054252403440383
29,10,0.0286407582455929,0.0584040845383703
29,50,0.00285657793370098,0.00517689143312631
29,50,0.00299352069337574,0.00520995239541484
29,100,0.0212496060819352,0.0323659454773675
29,100,0.0187574562063268,0.0279634883020398
29,500,0.0456125467686465,0.0926149383676406
29,500,0.0483789663379047,0.0769072604897056
