t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00108834304752552,18.9746577475575,13.5644251434777,0.000748577586912526,0.0006988443313578,0.000753441029311538,2.06198460311367e-05,0.00199278131841322
10,NaN,NaN,44.690926303979,NaN,NaN,0.00189161309378282,NaN,0.00217877977778841
15,0.0345143193739905,12.6991536105684,NaN,0.0392163696475124,0.0258793596816819,NaN,0.000133348694910836,NaN
25,NaN,NaN,28.0933592277561,NaN,0.022670443516081,0.021098388471127,NaN,0.0325832011842972
30,0.01330946409605,NaN,NaN,NaN,NaN,NaN,0.00068620768969531,NaN
35,NaN,17.6832034275569,17.1682961703556,0.0106349709250386,NaN,0.0292435164853821,NaN,NaN
40,NaN,NaN,NaN,NaN,0.010099612707887,NaN,NaN,0.0625315218476856
45,0.00552948097844859,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,20.9373536272232,14.4337431099197,0.00494828642274807,NaN,0.0139864280151828,0.000309651375667187,NaN
55,NaN,NaN,NaN,NaN,0.00397923865172831,NaN,NaN,0.0253059159720125
65,0.00196781187451561,NaN,13.2323825900404,NaN,NaN,NaN,0.000156827480279029,NaN
70,NaN,24.0481391493386,NaN,0.00164645886210751,NaN,0.0035967745013795,NaN,0.00910379957204337
75,NaN,NaN,NaN,NaN,0.00172047833228484,NaN,NaN,NaN
85,0.00142317418253696,NaN,11.536836225108,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,0.00158991908943033,4.29838201219644e-05,0.00391221483204177
95,NaN,22.0199198782991,NaN,0.000846418564217834,NaN,NaN,NaN,NaN
100,0.00115312757853471,25.8713333470406,12.307716974937,0.000962542900223878,0.000946540615651137,0.00114680197019989,3.13557956668162e-05,0.00260117368674335
150,0.0012863006552475,19.3411132341827,13.4274200127053,0.000828372657563503,0.000655517200565381,0.000729097394480339,2.00884545587253e-05,0.0014267777800265
200,0.00132420271965642,20.9155012459877,11.7011834593084,0.000824077562481058,NaN,NaN,NaN,NaN
250,NaN,24.8823011544887,NaN,0.000764776796931787,NaN,NaN,NaN,NaN
