t,input_il6,nSOCS3RNA5_Obs,SOCS3_Obs
16,0,0.000704208106275768,0.00179530937188184
16,0,0.000829617579163471,0.00165156261488741
16,5,0.00370605488810082,0.00469731031950421
16,5,0.0035514905779506,0.00514913589929952
16,10,0.0190049122817854,0.0224197182918041
16,10,0.0154233705492936,0.0206296005204217
16,20,0.00568765035495227,0.00677413411461227
16,20,0.00552872839669119,0.007680271686623
16,40,0.0128583659794358,0.00906713093424621
16,40,0.00833534771942701,0.0115323800346736
16,80,0.0023698524790085,0.00343621751951026
16,80,0.00274935507597005,0.00319882804210596
16,120,0.0161498129647814,0.0127683925625893
16,120,0.0171860149853986,0.0182764661975637
