t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.257625216291114,0.000241358187903264,0.00112184153054556,29.6683933500834,13.891501697117,0.00104497178461075,0.000974059599954494,0.000780321840643329,3.1591394250451e-05,0.00195962404619103
15,NaN,NaN,NaN,8.30497813976949,48.0108555059247,NaN,NaN,NaN,0.000165642061294385,NaN
20,0.116868901216505,0.0172750423928964,0.117141330144141,NaN,NaN,0.0559521903862673,0.0530100218138919,0.0212050599328962,NaN,0.0227417910310785
30,NaN,NaN,NaN,8.14091517060238,60.1365236716721,NaN,NaN,NaN,NaN,NaN
35,NaN,0.0150301775897465,NaN,NaN,NaN,NaN,NaN,NaN,0.00121537703045361,NaN
40,0.102536928260853,NaN,0.136721435376292,NaN,NaN,0.0527576063131276,0.0546919332034559,0.0530618998300858,NaN,0.125919338624466
45,NaN,NaN,NaN,8.87224365045459,60.2753691698708,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011893322546882,NaN
55,NaN,0.0157808766052076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,0.126923229572067,NaN,NaN,6.8288275810402,60.9856734115896,0.0488904993689695,NaN,0.0620826658310187,NaN,0.132833440654699
65,NaN,NaN,0.125362585170285,NaN,NaN,NaN,0.0530790509251871,NaN,NaN,NaN
75,NaN,0.0151802912050757,NaN,NaN,NaN,NaN,NaN,NaN,0.00103644019408365,NaN
80,NaN,NaN,NaN,7.9562915309998,52.8208321194479,NaN,NaN,NaN,NaN,NaN
85,0.111227337173713,NaN,NaN,NaN,NaN,0.0543721079444357,NaN,0.0532987074625642,NaN,0.132851091508583
90,NaN,NaN,0.12861644216226,NaN,NaN,NaN,0.0459703299488552,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00125770238854607,NaN
100,0.102030963357383,0.0154414859231393,0.0942003366982684,7.27905564812097,53.4747936979602,0.0552618251315073,0.055124814869277,0.0571006534432178,0.0015412652125143,0.126406190121853
150,0.101978084604967,0.0110969201419925,0.088167019909214,7.8143494415623,49.9527419235529,0.0448176481051557,0.0442658134975679,0.0477903429509134,0.00112446548592011,0.118758522735794
200,0.0992672767184113,0.0134391126170801,0.0983197511852435,10.5269139083318,46.313259490791,0.0504639857502799,0.0503494301932009,0.0424040549459726,0.00121403819250422,0.144570305098518
250,0.089063430862462,0.0131142484046339,0.0916940616487437,11.2705738565421,43.0915748457638,0.053078782289513,0.0440984440899398,NaN,0.00128500168530346,0.103789970144059
300,0.0898721672924496,NaN,0.121034611708353,7.96721012685542,41.2167571641848,0.0521628200385017,0.0549854399776661,0.0467881796536132,NaN,NaN
350,0.094015494933154,NaN,0.0762926666554485,NaN,NaN,NaN,0.0469714202985429,0.0430417348298192,NaN,0.107972930669212
