t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00108257412930274,18.4587272286024,11.7510551314321,0.000837483112165501,0.000945414372275003,0.00103083202931017,1.80777686244462e-05,0.00262731178272275
10,NaN,NaN,55.0878589765288,NaN,NaN,NaN,NaN,NaN
15,0.12161561845869,5.81324891201639,NaN,0.0567832606667867,0.0460190599570105,0.0134571164585685,0.000214116875844118,0.0131574366942712
25,0.0649482254805253,11.1003855045143,38.9141371082543,NaN,NaN,NaN,NaN,0.0720127083018667
30,NaN,NaN,NaN,0.0345554006443513,0.0460036243202997,0.0558929633751863,0.00142897773770656,NaN
40,0.0214444681088564,16.5553963058904,29.8847218619692,NaN,NaN,NaN,NaN,0.115956587744798
45,NaN,NaN,NaN,NaN,0.0201775101555458,0.0409866883414917,NaN,NaN
50,NaN,NaN,NaN,0.0140067067106987,NaN,NaN,0.00103104399744462,NaN
55,0.00695503976981753,18.0267457840647,18.7405463425506,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.00996955733384875,0.0171913261593382,NaN,0.0569609315924591
70,NaN,21.5592446664495,12.1851033896446,0.00396039458701889,NaN,NaN,0.000287496399296172,NaN
75,0.00267397804717068,NaN,NaN,NaN,NaN,NaN,NaN,0.0279669463156307
80,NaN,NaN,NaN,NaN,0.00273406259638537,0.00551604650047888,NaN,NaN
90,NaN,22.0059150208658,12.9273119758051,0.00155449219178716,NaN,NaN,8.65827295659758e-05,NaN
95,0.00152265417263808,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.00137936682601531,25.1245530543587,13.1535651533604,0.00101429562909967,0.00118108549811537,0.00192803620002032,5.82071790638673e-05,0.00550884635947266
150,0.0010454576524338,23.517083969341,12.1026777493267,0.000755298390492286,0.00090386548300307,0.000879535635491918,2.22522435640064e-05,0.00163821778442667
200,0.00113946113717165,20.392590327134,11.9566825039171,0.000690591517813995,0.00070376073281826,NaN,1.86191558347298e-05,NaN
250,NaN,NaN,NaN,0.000915294281050915,NaN,NaN,NaN,NaN
