t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.229289080523816,0.0010676939040563,21.7799780345646,12.9473336991449,0.000632354192031304,0.0008765430955736,0.000764442974641609,2.13167456956883e-05,0.00168750306933569
3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.97732721775828e-05,NaN
4.5,NaN,NaN,NaN,NaN,0.000243037724406012,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,0.000343393384983136,0.000740337046841037,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00177719409824173
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.84623343555487e-05,NaN
9,NaN,NaN,NaN,NaN,7.20657111817094e-05,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,0.000156199561028249,0.000762246677615899,1.82156090064794e-05,NaN
15,NaN,NaN,NaN,49.2481404714272,1.26301481135681e-05,6.24310685712194e-05,0.000550895729087198,1.45967920796947e-05,0.00125952071134843
20,0.0628659504987233,NaN,6.06102191175672,NaN,4.65238455185688e-06,NaN,NaN,1.15120398754182e-05,0.000828509343409977
25,NaN,0.156154592809677,NaN,NaN,2.27736428931616e-06,6.32006773037939e-06,0.000134118371976476,NaN,0.000616882133139127
30,NaN,NaN,NaN,46.2165389338249,NaN,2.85621798347138e-06,5.46267514610224e-05,2.69099069693017e-06,NaN
35,NaN,NaN,NaN,NaN,9.83665665658297e-07,NaN,NaN,1.11310410894961e-06,0.000108158753223274
40,0.0566998275219755,NaN,8.2621608837309,NaN,NaN,1.24741520827908e-06,1.41089093999129e-05,4.96140330013013e-07,NaN
45,NaN,0.140311610188088,NaN,44.4901999066117,NaN,1.05726647469784e-06,NaN,NaN,2.70980522048583e-05
50,NaN,NaN,NaN,NaN,NaN,NaN,2.35534513921043e-06,8.61735703272285e-08,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.15829428649419e-06
60,0.0508107009600811,NaN,7.37535070769473,58.5483356655594,NaN,9.12219720964287e-07,9.76630281231944e-07,1.79029368831656e-08,NaN
70,NaN,0.108366509199904,NaN,NaN,NaN,1.062839339201e-06,1.15152954083884e-06,1.25023585038609e-08,1.04097821877773e-06
75,NaN,NaN,NaN,45.4078839319013,NaN,NaN,NaN,NaN,NaN
80,0.0531091453621313,NaN,9.5246778836182,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,1.10039725574721e-06,8.35715071652202e-07,NaN,1.12791202551847e-06
95,NaN,NaN,NaN,50.5875207915302,NaN,NaN,NaN,NaN,NaN
100,0.0365503450860763,0.0865402348141886,8.13173226201742,53.0936531840867,NaN,NaN,NaN,NaN,9.26505081685497e-07
150,0.0323907927617041,0.0625439941466506,10.8383859630424,44.3775852949667,NaN,NaN,NaN,NaN,NaN
200,0.0193628066379052,0.039970875455843,13.6575357191946,34.9454078647481,NaN,NaN,NaN,NaN,NaN
250,0.01650757459958,0.0356481012584048,14.877687778528,28.9437433106558,NaN,NaN,NaN,NaN,NaN
300,0.0116222522644473,0.0256875425871615,14.5123829984646,31.7325041080202,NaN,NaN,NaN,NaN,NaN
350,0.00810237052501043,0.0175786443910886,14.9094835222222,23.3897762444725,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,17.1137396856304,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,0.00881758499619567,NaN,NaN,NaN,NaN,NaN,NaN,NaN
