t,input_stattic,nSOCS3RNA5_Obs,SOCS3_Obs
0,0,0.000708721865456226,0.00203497951411191
0,0,0.000792629055042554,0.00159147235422395
0,1,0.000801868547901907,0.00155351868540815
0,1,0.000854281311675317,0.00176098972970528
0,5,0.000797738267379626,0.00156762840926086
0,5,0.000847871861204107,0.00170781620748825
0,10,0.000697869960153992,0.00166784006893902
0,10,0.00079930407535328,0.00198639802215869
0,20,0.000703989298010177,0.00174621798663372
0,20,0.000736038420521359,0.00194101500751987
0,50,0.000732323570354436,0.00182026210541665
0,50,0.000785641425579849,0.0015254434423279
