t,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00109821432761746,24.7893336879534,12.0312967611144,0.00083239386897593,0.000890732224092425,0.000927707798454712,2.03206881169346e-05,0.00179304743663595
10,0.0877530055980465,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,8.27033522359467,49.4375144975896,0.0479460011532303,0.0375450936033885,0.00725198787391569,0.000116881003524653,0.00988118147369917
25,0.0764792133523044,8.21998234565116,48.5998113466601,0.0500216803150419,0.0495596604900353,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,0.0439879870202164,0.000895385564376893,0.0910557379962665
40,0.0323621693778123,13.7826286932955,35.6696861291005,0.0291357032711695,0.0346271907040425,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,0.046211162264535,0.00126977145974011,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0915163612909763
55,0.0104778501263694,NaN,19.8793561155713,0.012361531110416,0.0179015874111195,NaN,NaN,NaN
60,NaN,18.1637647153074,NaN,NaN,NaN,NaN,0.000886364447775021,NaN
65,NaN,NaN,NaN,NaN,NaN,0.0194417461605953,NaN,0.0456152171010444
70,0.00463460200065124,NaN,16.8522402723428,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,0.00352235551590047,0.0052749501252882,NaN,NaN,NaN
80,NaN,23.5800894045557,NaN,NaN,NaN,NaN,0.000203525642225077,NaN
85,NaN,NaN,NaN,NaN,NaN,0.00603903119156643,NaN,NaN
90,0.00162550455945067,NaN,12.1850568367241,NaN,NaN,NaN,NaN,0.0127443375828036
95,NaN,NaN,NaN,0.00151473856344371,0.00158969737045214,NaN,NaN,NaN
100,0.00153876021622746,22.8111022343767,15.2257868228218,0.00131598099538217,0.00145935860902011,0.00230380962855814,7.45034792839064e-05,0.00576126060142715
150,0.00102792386679712,19.6830765737664,10.9061560248823,0.000886894628593433,0.000933029075470682,0.000748023023174579,1.83997003014622e-05,0.00166763639229005
200,NaN,23.1302409201833,12.5734062267628,0.000758030719845523,0.000787339491112356,0.000750521209921232,NaN,0.00187973749449673
