t,input_il6,SOCS3RNA_Obs
110,0,1.83775710704558e-05
110,0,2.02099760623959e-05
110,0,2.12407077213969e-05
110,0,2.15024675663026e-05
110,0,2.20187928345635e-05
110,0,2.39900557008972e-05
110,0.0005,2.06630375203774e-05
110,0.0005,2.10217269370011e-05
110,0.0005,2.21546234708989e-05
110,0.0005,2.33260372773364e-05
110,0.0005,2.4367446894367e-05
110,0.0005,2.48151608226989e-05
110,0.005,2.00964541857007e-05
110,0.005,2.02731194718065e-05
110,0.005,2.2459307857768e-05
110,0.005,2.31846500760086e-05
110,0.005,2.35260966463029e-05
110,0.005,2.53417662068019e-05
110,0.005,2.53529490051856e-05
110,0.005,2.54198468787683e-05
110,0.05,2.67510914282881e-05
110,0.05,2.69103803978841e-05
110,0.05,2.80103504211129e-05
110,0.05,2.94523494599325e-05
110,0.05,2.99417792680032e-05
110,0.05,2.99707710547988e-05
110,0.1,2.87460658526914e-05
110,0.1,3.24417550915973e-05
110,0.1,3.28248423334972e-05
110,0.1,3.60594713166815e-05
110,0.1,3.6501683275644e-05
110,0.1,4.49361164024796e-05
110,0.5,8.32910885437387e-05
110,0.5,0.000116179366866264
110,1,0.000152421122699069
110,1,0.000158066747878187
110,1,0.000165202284422841
110,1,0.000168823170926282
110,1,0.000177211077827656
110,1,0.000181579057808455
110,1,0.00018194763649138
110,1,0.000213726264499518
110,2.5,0.000317234716731878
110,2.5,0.000355623091219715
110,5,0.000600716716030825
110,5,0.000650833367624458
110,10,0.000767435931258389
110,10,0.000779136723570662
110,10,0.000817518698798663
110,10,0.000847495508243586
110,10,0.000853242631403841
110,10,0.00085768634078056
110,10,0.000862617970660377
110,10,0.000918201919435067
110,25,0.00136479194464218
110,25,0.00143647860629507
110,50,0.00123128553097366
110,50,0.00127601560388546
110,50,0.00128047847454094
110,50,0.00130886003782894
110,50,0.0013730096571688
110,50,0.00140233885377974
110,50,0.00159744730227666
110,50,0.00160141976190008
110,100,0.00143481867309745
110,100,0.00149018858978836
110,100,0.00157371872333672
110,100,0.0015851927777588
110,100,0.00164025170732594
110,100,0.00175994955899544
110,200,0.00124292062842527
110,200,0.00152695913212425
110,200,0.0015862323501965
110,200,0.00162787593822368
110,200,0.00170324312351139
110,200,0.00172669939383081
110,500,0.00149093852540262
110,500,0.00166686512432292
110,500,0.00169312365762284
110,500,0.00199701916538515
