t,IRins_Obs,XXp_Obs,Compound_2_Obs
0,-0.555534196806434,-5.89791204991908e-05,29.3528117360361
1,1.93737137627693,0.000625539206435061,28.7669143926349
2,0.946421165935121,NaN,NaN
2.5,NaN,0.00246147024357838,31.2525559261438
3.5,3.0681824835573,0.00250594385995912,29.0731049633187
4.5,5.89519680316979,NaN,NaN
5,NaN,0.00295154266239355,21.4845399136637
6,5.86012762561169,NaN,NaN
6.5,NaN,0.00348911137989621,21.1406555330021
7.5,6.73484058146194,NaN,NaN
8,NaN,0.00458960194386979,NaN
8.5,NaN,NaN,19.4898446698163
9,5.62680103457838,NaN,NaN
10,5.57308376802077,0.00395580636263949,20.4383201622941
15,4.57887135215095,0.00364368945381822,18.9422944423704
20,3.69283838204279,0.00348226051048036,NaN
