t,IRins_Obs,XXp_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.264226084335336,0.000395687891584705,18.9251980388791,29.2013527463009,21.6282721275954
2,NaN,NaN,11.649737593031,NaN,NaN
2.5,7.74604045243524,NaN,NaN,21.1514711041852,24.1315266226103
4,NaN,NaN,15.7047629300252,NaN,NaN
4.5,NaN,0.00434789058580297,NaN,NaN,NaN
5,NaN,NaN,NaN,19.5232617329669,24.9101425631109
5.5,6.17876872087343,NaN,NaN,NaN,NaN
6.5,NaN,NaN,12.7635330600927,NaN,NaN
8,5.9002946846527,NaN,NaN,20.1771223068005,26.9633859464019
9,NaN,0.00389943793156664,17.2513146620267,NaN,NaN
10,4.46089471452073,NaN,11.6349577857094,16.0940578597117,24.4101127184152
15,3.89225339752317,0.00331863578955516,17.739313970808,21.4505747231682,22.1133561249164
20,3.23900362508673,0.00323100333789779,16.2967299937277,21.8420821504204,19.6524479560804
25,2.7865407242582,0.0029103680888682,17.8003561613687,20.0014034753763,22.1461694352559
30,2.6405265199969,0.0028368943402473,19.6732556336948,NaN,18.4181679740544
35,1.85382808253166,NaN,16.2426566454581,NaN,18.2083502246002
40,2.12109404996163,0.0025462772762939,NaN,NaN,NaN
45,NaN,NaN,15.9797431501612,NaN,22.4994487540446
50,1.58381564112611,0.00242187239679603,NaN,NaN,18.0803161390397
60,NaN,0.00267165768693627,NaN,NaN,NaN
70,NaN,0.00256227709981941,NaN,NaN,NaN
