conditionId	Inh	Reelin_input
D01_Hass_RS40_TC001	0	1
D02_Hass_RS40_TC002	1	0
D03_Hass_RS40_TC003	1	1
D04_Hass_RS40_TC004	0	0.01
D05_Hass_RS40_DR001	0	0
D06_Hass_RS40_DR001	0	0.00012207
D07_Hass_RS40_DR001	0	0.00024414
D08_Hass_RS40_DR001	0	0.00048828
D09_Hass_RS40_DR001	0	0.00097656
D10_Hass_RS40_DR001	0	0.0019531
D11_Hass_RS40_DR001	0	0.0039062
D12_Hass_RS40_DR001	0	0.0078125
D13_Hass_RS40_DR001	0	0.015625
D14_Hass_RS40_DR001	0	0.03125
D15_Hass_RS40_DR001	0	0.125
D16_Hass_RS40_DR001	0	0.25
D17_Hass_RS40_DR001	0	0.5
D18_Hass_RS40_DR001	0	1
