t,Reelin_input,pApoER2_re_Dab1_Obs,SFK_Obs
16,0,-2.49219684380618e-05,0.00237077404528149
16,0.00012207,3.54200188619542e-05,0.00219612259821637
16,0.00024414,3.67773484575311e-05,0.00238135525229719
16,0.00048828,-3.2350074459609e-05,0.00197681792587699
16,0.00097656,0.000117873525795824,0.00238784716188008
16,0.0019531,0.000150413285642065,0.00213868984578884
16,0.0039062,0.000134948302731344,0.00202965171761868
16,0.0078125,0.000268768935244632,0.0013303274102433
16,0.015625,0.000410549932793099,0.00168043807852718
16,0.03125,0.000468836993116952,0.00225870995074689
16,0.125,0.000678549283698315,0.00207213224239398
16,0.25,0.00068884441167294,0.00224885552129859
16,0.5,0.0007789992764036,0.00162369157953083
16,1,0.000984146464784731,0.00213921841726504
