t,pApoER2_re_Dab1_Obs,SFK_Obs
0,2.22162509341457e-05,0.00239182552229189
20,NaN,0.00202554473695056
35,0.000473799237818605,NaN
45,NaN,0.00176439549183083
65,NaN,0.00207949250209752
75,0.000430516750589425,NaN
90,NaN,0.00210507131454751
100,0.000386240921091108,0.00221564529926183
150,0.000289629057777686,0.00205636777351676
200,0.000158226935463305,0.00191657693702355
250,9.4168874040809e-05,0.00245582128371736
300,0.000120042739250635,NaN
350,NaN,0.00250937663120826
400,4.3824693038956e-05,NaN
500,4.67434819501056e-05,NaN
600,-1.72272878807177e-05,NaN
