t,ApoER2_Dab1SFKInh_Obs,SFK_Obs
0,0.00269813729305833,3.23116836447126e-10
10,0.00238956554836625,NaN
20,0.00281032382278327,NaN
30,NaN,5.4395660287327e-10
35,0.0025176253933467,NaN
50,0.00207507268253844,NaN
60,NaN,6.2192040051236e-10
65,0.00221529026432176,NaN
80,0.00247902495630433,NaN
90,NaN,3.59660943501663e-10
100,0.00203143342284585,3.79551892363736e-10
150,NaN,3.4074419042927e-10
200,NaN,3.14038295963129e-10
250,NaN,4.71728808779327e-10
350,NaN,4.09369354448104e-10
400,NaN,5.08112639555109e-10
550,NaN,5.11093865540676e-10
