t,pApoER2_re_Dab1_Obs,SFK_Obs
0,-2.41487058842447e-05,0.00225295174114076
25,NaN,0.00143957042035044
30,0.000968949305195371,NaN
55,NaN,0.00163836562912657
65,0.000822035588282142,NaN
80,NaN,0.00221959524707009
100,0.00071480649177414,0.00206082200124771
150,0.000530231741198152,0.00207397289906633
200,0.000424222145884253,0.00263320424624837
250,0.000413283699278196,0.00281277263222978
300,0.000216008834656762,NaN
350,0.000325618003257663,0.00247430081165369
400,NaN,0.00246359589365289
450,0.000364948678736077,NaN
500,0.000178987443898496,NaN
