t,ApoER2_Dab1SFKInh_Obs,pApoER2_re_Dab1_Obs
0,0.00244892845084234,-6.45768343945173e-07
25,NaN,9.95272459039564e-07
35,0.00181709399140563,NaN
45,NaN,7.69454938548167e-07
70,0.0014284292552619,4.53715472893762e-06
100,0.00110330433419455,3.73973273848662e-06
150,0.000761188775164024,1.23901925733691e-05
200,0.000822696527313785,1.23814556931127e-05
250,0.00044722655706346,1.79494672049085e-05
300,0.000235136296360655,1.78692281738113e-05
350,NaN,2.25775888348207e-05
400,0.000116477798947856,2.30303639954661e-05
450,1.13873161817149e-05,NaN
500,NaN,2.93111153900452e-05
600,0.000140916953999154,4.35442280433978e-06
